Market,MarketName,Sector,Fetch_Time,up_0_3,up_3_5,up_5_7,up_7_plus,down_0_3,down_3_5,down_5_7,down_7_plus,unchanged,no_trade,total_turnover
JP,Japan 225 Index,Commercial Services,2026-06-10 23:00:00,2,0,0,0,4,0,0,0,0,0,38958561800.0
JP,Japan 225 Index,Communications,2026-06-10 23:00:00,3,0,0,0,0,0,0,1,0,0,499035966120.0
JP,Japan 225 Index,Consumer Durables,2026-06-10 23:00:00,5,1,0,0,13,3,1,0,0,0,444768493810.0
JP,Japan 225 Index,Consumer Non-Durables,2026-06-10 23:00:00,8,2,0,0,2,0,0,0,0,0,113619051250.0
JP,Japan 225 Index,Consumer Services,2026-06-10 23:00:00,0,2,0,0,0,0,0,0,0,0,20864276150.0
JP,Japan 225 Index,Distribution Services,2026-06-10 23:00:00,1,0,0,0,2,2,0,0,0,0,143521400800.0
JP,Japan 225 Index,Electronic Technology,2026-06-10 23:00:00,2,0,0,0,5,4,5,4,0,0,4645356192150.0
JP,Japan 225 Index,Energy Minerals,2026-06-10 23:00:00,0,0,0,0,2,1,0,0,0,0,33884039100.0
JP,Japan 225 Index,Finance,2026-06-10 23:00:00,13,1,1,0,13,0,0,0,0,0,769827613450.0
JP,Japan 225 Index,Health Technology,2026-06-10 23:00:00,8,0,0,0,4,0,0,0,0,0,165937104650.0
JP,Japan 225 Index,Industrial Services,2026-06-10 23:00:00,3,0,0,0,3,0,0,0,0,0,37369337300.0
JP,Japan 225 Index,Non-Energy Minerals,2026-06-10 23:00:00,4,0,0,0,3,0,1,0,0,0,139174096800.0
JP,Japan 225 Index,Process Industries,2026-06-10 23:00:00,7,0,0,0,10,1,0,1,0,0,208307037870.0
JP,Japan 225 Index,Producer Manufacturing,2026-06-10 23:00:00,2,2,0,0,15,7,5,3,0,0,1703871354270.0
JP,Japan 225 Index,Retail Trade,2026-06-10 23:00:00,10,1,0,0,1,0,0,0,0,0,156365214400.0
JP,Japan 225 Index,Technology Services,2026-06-10 23:00:00,8,0,0,0,4,0,0,0,0,0,177146385050.0
