Market,MarketName,Sector,Fetch_Time,up_0_3,up_3_5,up_5_7,up_7_plus,down_0_3,down_3_5,down_5_7,down_7_plus,unchanged,no_trade,total_turnover
JP,Japan 225 Index,Commercial Services,2026-09-02 00:00:00,3,0,0,0,3,0,0,0,0,0,35953003100.0
JP,Japan 225 Index,Communications,2026-09-02 00:00:00,3,0,0,0,0,0,0,0,0,0,78894831660.0
JP,Japan 225 Index,Consumer Durables,2026-09-02 00:00:00,18,3,0,0,2,0,0,0,0,0,397750965300.0
JP,Japan 225 Index,Consumer Non-Durables,2026-09-02 00:00:00,7,0,0,0,5,0,0,0,0,0,90159994800.0
JP,Japan 225 Index,Consumer Services,2026-09-02 00:00:00,2,0,0,0,0,0,0,0,0,0,15582602000.0
JP,Japan 225 Index,Distribution Services,2026-09-02 00:00:00,1,3,0,0,1,0,0,0,0,0,119303933100.0
JP,Japan 225 Index,Electronic Technology,2026-09-02 00:00:00,13,1,0,0,6,0,0,0,0,0,2473385418650.0
JP,Japan 225 Index,Energy Minerals,2026-09-02 00:00:00,0,3,0,0,0,0,0,0,0,0,40735833650.0
JP,Japan 225 Index,Finance,2026-09-02 00:00:00,26,0,0,0,2,0,0,0,0,0,582594524250.0
JP,Japan 225 Index,Health Technology,2026-09-02 00:00:00,12,0,0,0,0,0,0,0,0,0,145108972100.0
JP,Japan 225 Index,Industrial Services,2026-09-02 00:00:00,4,2,0,0,0,0,0,0,0,0,36477328200.0
JP,Japan 225 Index,Miscellaneous,2026-09-02 00:00:00,1,0,0,0,0,0,0,0,0,0,141012654600.0
JP,Japan 225 Index,Non-Energy Minerals,2026-09-02 00:00:00,4,3,0,0,1,0,0,0,0,0,145833018800.0
JP,Japan 225 Index,Process Industries,2026-09-02 00:00:00,11,4,2,1,1,0,0,0,0,0,191824487450.0
JP,Japan 225 Index,Producer Manufacturing,2026-09-02 00:00:00,11,3,1,0,17,2,0,0,0,0,1019735164700.0
JP,Japan 225 Index,Retail Trade,2026-09-02 00:00:00,5,0,0,0,6,1,0,0,0,0,157112774060.0
JP,Japan 225 Index,Technology Services,2026-09-02 00:00:00,7,0,0,0,4,1,0,0,0,0,176530376380.0
JP,Japan 225 Index,Transportation,2026-09-02 00:00:00,11,0,0,0,3,0,0,0,0,0,95486545160.0
JP,Japan 225 Index,Utilities,2026-09-02 00:00:00,2,1,2,0,0,0,0,0,0,0,73294561800.0
JP,All Japanese companies,Commercial Services,2026-09-02 00:00:00,133,3,0,2,154,8,5,4,30,0,87740151630.0
JP,All Japanese companies,Communications,2026-09-02 00:00:00,8,0,0,0,10,1,0,0,3,0,82667284260.0
JP,All Japanese companies,Consumer Durables,2026-09-02 00:00:00,71,3,1,1,43,4,0,0,10,0,457683048450.0
JP,All Japanese companies,Consumer Non-Durables,2026-09-02 00:00:00,80,3,0,1,89,2,1,0,13,0,177025105110.0
JP,All Japanese companies,Consumer Services,2026-09-02 00:00:00,81,5,0,1,112,7,0,1,30,0,106492358250.0
JP,All Japanese companies,Distribution Services,2026-09-02 00:00:00,111,11,0,0,83,1,0,1,15,0,179087829850.0
JP,All Japanese companies,Electronic Technology,2026-09-02 00:00:00,76,6,0,3,108,7,2,0,13,0,2625626426000.0
JP,All Japanese companies,Energy Minerals,2026-09-02 00:00:00,3,4,0,0,0,0,0,0,1,0,47498320650.0
JP,All Japanese companies,Finance,2026-09-02 00:00:00,190,8,1,3,145,4,1,1,24,1,843351182460.0
JP,All Japanese companies,Government,2026-09-02 00:00:00,0,0,0,0,1,0,0,0,0,0,10850000.0
JP,All Japanese companies,Health Services,2026-09-02 00:00:00,15,2,0,0,16,0,0,0,1,0,1511779200.0
JP,All Japanese companies,Health Technology,2026-09-02 00:00:00,64,1,0,1,46,5,1,1,11,0,217304795450.0
JP,All Japanese companies,Industrial Services,2026-09-02 00:00:00,97,9,3,0,37,4,0,0,9,0,114769993600.0
JP,All Japanese companies,Miscellaneous,2026-09-02 00:00:00,3,0,0,0,1,0,0,0,0,0,141614829400.0
JP,All Japanese companies,Non-Energy Minerals,2026-09-02 00:00:00,46,10,1,0,24,1,0,0,7,0,216132050300.0
JP,All Japanese companies,Process Industries,2026-09-02 00:00:00,118,15,6,4,93,2,0,1,11,0,359720247400.0
JP,All Japanese companies,Producer Manufacturing,2026-09-02 00:00:00,217,12,3,0,209,18,3,1,38,0,1359166642560.0
JP,All Japanese companies,Retail Trade,2026-09-02 00:00:00,88,3,2,0,94,5,0,1,37,0,252686116160.0
JP,All Japanese companies,Technology Services,2026-09-02 00:00:00,178,11,5,7,285,43,9,14,38,2,702622200915.0
JP,All Japanese companies,Transportation,2026-09-02 00:00:00,58,0,0,0,43,0,0,0,9,0,131702939560.0
JP,All Japanese companies,Utilities,2026-09-02 00:00:00,12,6,5,1,7,1,0,0,0,0,122565766500.0
KR,All South Korean Companies,Commercial Services,2026-09-02 00:00:00,32,4,4,3,37,8,3,1,12,0,138604877829.0
KR,All South Korean Companies,Communications,2026-09-02 00:00:00,5,0,0,1,6,0,0,1,0,0,90997701847.0
KR,All South Korean Companies,Consumer Durables,2026-09-02 00:00:00,28,1,3,5,28,6,1,5,4,0,979257967952.0
KR,All South Korean Companies,Consumer Non-Durables,2026-09-02 00:00:00,53,6,2,8,72,8,6,1,3,0,683519627488.0
KR,All South Korean Companies,Consumer Services,2026-09-02 00:00:00,33,5,0,1,31,1,0,0,2,0,129714296603.0
KR,All South Korean Companies,Distribution Services,2026-09-02 00:00:00,22,2,2,3,24,4,0,1,2,0,94899262370.0
KR,All South Korean Companies,Electronic Technology,2026-09-02 00:00:00,113,19,8,14,194,35,14,10,17,0,11999317068728.0
KR,All South Korean Companies,Energy Minerals,2026-09-02 00:00:00,5,0,0,1,3,0,0,0,0,0,389624313656.0
KR,All South Korean Companies,Finance,2026-09-02 00:00:00,84,10,4,4,57,3,1,0,23,0,1999994292007.0
KR,All South Korean Companies,Health Services,2026-09-02 00:00:00,1,0,0,0,5,2,1,1,0,0,22421363345.0
KR,All South Korean Companies,Health Technology,2026-09-02 00:00:00,100,18,9,14,115,23,5,9,17,0,1452913181302.0
KR,All South Korean Companies,Industrial Services,2026-09-02 00:00:00,7,2,0,3,33,4,1,0,5,0,261138616466.0
KR,All South Korean Companies,Miscellaneous,2026-09-02 00:00:00,1,0,0,0,6,0,0,0,2,0,30684540938.0
KR,All South Korean Companies,Non-Energy Minerals,2026-09-02 00:00:00,36,6,2,2,48,6,0,2,6,0,344367761492.0
KR,All South Korean Companies,Process Industries,2026-09-02 00:00:00,86,7,5,4,95,13,3,3,14,0,544665192232.0
KR,All South Korean Companies,Producer Manufacturing,2026-09-02 00:00:00,126,19,9,12,225,50,8,4,9,0,2840811734733.0
KR,All South Korean Companies,Retail Trade,2026-09-02 00:00:00,15,3,3,0,9,7,1,1,2,0,246276214408.0
KR,All South Korean Companies,Technology Services,2026-09-02 00:00:00,73,9,6,15,105,9,5,3,17,0,680492246901.0
KR,All South Korean Companies,Transportation,2026-09-02 00:00:00,19,0,0,2,13,0,2,0,1,0,185520427904.0
KR,All South Korean Companies,Utilities,2026-09-02 00:00:00,12,1,0,0,5,1,2,1,1,0,127778914726.0
KR,KOSPI Composite Index,Commercial Services,2026-09-02 00:00:00,5,0,0,0,8,1,1,0,0,0,57076797790.0
KR,KOSPI Composite Index,Communications,2026-09-02 00:00:00,3,0,0,0,2,0,0,0,0,0,87962119610.0
KR,KOSPI Composite Index,Consumer Durables,2026-09-02 00:00:00,12,0,0,2,12,2,0,3,1,0,882129497338.0
KR,KOSPI Composite Index,Consumer Non-Durables,2026-09-02 00:00:00,30,2,0,4,35,3,4,0,2,0,515398584206.0
KR,KOSPI Composite Index,Consumer Services,2026-09-02 00:00:00,14,1,0,0,6,0,0,0,1,0,39465954886.0
KR,KOSPI Composite Index,Distribution Services,2026-09-02 00:00:00,7,0,2,0,4,2,0,1,0,0,41287885525.0
KR,KOSPI Composite Index,Electronic Technology,2026-09-02 00:00:00,15,2,0,2,26,7,1,2,2,0,10947420261710.0
KR,KOSPI Composite Index,Energy Minerals,2026-09-02 00:00:00,4,0,0,1,2,0,0,0,0,0,386897393276.0
KR,KOSPI Composite Index,Finance,2026-09-02 00:00:00,46,7,2,3,20,0,0,0,1,0,1911382267028.0
KR,KOSPI Composite Index,Health Technology,2026-09-02 00:00:00,27,2,1,2,21,3,0,2,1,0,458386490912.0
KR,KOSPI Composite Index,Industrial Services,2026-09-02 00:00:00,3,1,0,2,14,1,1,0,3,0,247055592667.0
KR,KOSPI Composite Index,Miscellaneous,2026-09-02 00:00:00,2,0,0,0,1,0,0,0,0,0,35421757080.0
KR,KOSPI Composite Index,Non-Energy Minerals,2026-09-02 00:00:00,24,3,2,1,28,4,0,1,4,0,227433343751.0
KR,KOSPI Composite Index,Process Industries,2026-09-02 00:00:00,48,5,2,0,46,7,2,0,6,0,390784490776.0
KR,KOSPI Composite Index,Producer Manufacturing,2026-09-02 00:00:00,48,2,3,1,65,10,0,0,4,0,1827752522044.0
KR,KOSPI Composite Index,Retail Trade,2026-09-02 00:00:00,8,2,2,0,4,2,0,0,2,0,160318114266.0
KR,KOSPI Composite Index,Technology Services,2026-09-02 00:00:00,8,0,1,0,9,1,1,0,2,0,280319650920.0
KR,KOSPI Composite Index,Transportation,2026-09-02 00:00:00,14,0,0,0,12,0,2,0,1,0,183460716170.0
KR,KOSPI Composite Index,Utilities,2026-09-02 00:00:00,9,1,0,0,4,0,2,0,1,0,111177097340.0
TW,All Taiwan Companies,Commercial Services,2026-09-02 00:00:00,22,4,2,2,17,1,0,0,11,0,23569666542.4
TW,All Taiwan Companies,Communications,2026-09-02 00:00:00,3,0,0,0,3,0,0,0,2,0,2689870272.9
TW,All Taiwan Companies,Consumer Durables,2026-09-02 00:00:00,54,2,1,1,42,5,2,0,18,0,9410102923.14
TW,All Taiwan Companies,Consumer Non-Durables,2026-09-02 00:00:00,29,1,0,0,24,1,0,0,10,0,1099647068.94
TW,All Taiwan Companies,Consumer Services,2026-09-02 00:00:00,29,2,0,0,34,2,0,0,12,0,396177478.39
TW,All Taiwan Companies,Distribution Services,2026-09-02 00:00:00,41,3,0,1,22,1,0,0,13,0,8489372850.5
TW,All Taiwan Companies,Electronic Technology,2026-09-02 00:00:00,328,57,17,37,211,26,4,4,59,0,940304037063.98
TW,All Taiwan Companies,Energy Minerals,2026-09-02 00:00:00,0,1,0,0,1,0,1,0,1,0,2331711183.8
TW,All Taiwan Companies,Finance,2026-09-02 00:00:00,50,4,0,0,24,1,0,1,11,0,29031086838.05
TW,All Taiwan Companies,Health Services,2026-09-02 00:00:00,5,0,0,0,6,0,0,0,1,0,70197527.04
TW,All Taiwan Companies,Health Technology,2026-09-02 00:00:00,50,3,2,2,73,10,5,4,40,0,15863374817.23
TW,All Taiwan Companies,Industrial Services,2026-09-02 00:00:00,23,3,1,1,32,3,0,0,9,0,4490483127.64
TW,All Taiwan Companies,Miscellaneous,2026-09-02 00:00:00,1,0,0,0,0,0,0,0,0,0,379195.0
TW,All Taiwan Companies,Non-Energy Minerals,2026-09-02 00:00:00,29,4,2,0,18,2,1,0,6,0,23245084653.11
TW,All Taiwan Companies,Process Industries,2026-09-02 00:00:00,66,10,2,6,62,8,1,2,29,0,66434412108.81
TW,All Taiwan Companies,Producer Manufacturing,2026-09-02 00:00:00,140,15,15,19,121,3,0,2,27,0,126872837764.89
TW,All Taiwan Companies,Retail Trade,2026-09-02 00:00:00,12,1,2,0,13,1,0,1,7,0,2061972669.68
TW,All Taiwan Companies,Technology Services,2026-09-02 00:00:00,43,6,1,5,53,3,0,2,13,0,30686442452.96
TW,All Taiwan Companies,Transportation,2026-09-02 00:00:00,19,0,0,0,12,1,0,0,7,0,11169384111.05
TW,All Taiwan Companies,Unknown,2026-09-02 00:00:00,0,0,0,0,1,0,1,0,0,0,393629396.4
TW,All Taiwan Companies,Utilities,2026-09-02 00:00:00,8,0,0,1,5,0,0,0,5,0,259185748.34
TW,FTSE TWSE Taiwan 50 Index,Communications,2026-09-02 00:00:00,0,0,0,0,1,0,0,0,2,0,2660483460.0
TW,FTSE TWSE Taiwan 50 Index,Consumer Non-Durables,2026-09-02 00:00:00,1,0,0,0,0,0,0,0,0,0,49124228.6
TW,FTSE TWSE Taiwan 50 Index,Distribution Services,2026-09-02 00:00:00,1,0,0,0,0,0,0,0,0,0,118037178.0
TW,FTSE TWSE Taiwan 50 Index,Electronic Technology,2026-09-02 00:00:00,7,3,1,1,3,1,0,0,0,0,332992880974.0
TW,FTSE TWSE Taiwan 50 Index,Energy Minerals,2026-09-02 00:00:00,0,1,0,0,0,0,0,0,0,0,2328419252.9
TW,FTSE TWSE Taiwan 50 Index,Finance,2026-09-02 00:00:00,10,3,0,0,2,0,0,0,0,0,24403609732.0
TW,FTSE TWSE Taiwan 50 Index,Non-Energy Minerals,2026-09-02 00:00:00,1,1,0,0,0,0,0,0,0,0,3248004405.05
TW,FTSE TWSE Taiwan 50 Index,Process Industries,2026-09-02 00:00:00,1,1,0,1,0,1,0,0,0,0,44374564920.3
TW,FTSE TWSE Taiwan 50 Index,Producer Manufacturing,2026-09-02 00:00:00,1,0,0,0,1,0,0,0,0,0,1066292470.0
TW,FTSE TWSE Taiwan 50 Index,Retail Trade,2026-09-02 00:00:00,0,0,0,0,1,0,0,0,1,0,1208321002.2
TW,FTSE TWSE Taiwan 50 Index,Transportation,2026-09-02 00:00:00,2,0,0,0,0,1,0,0,0,0,8045450162.3
CN,All Chinese Companies,Commercial Services,2026-09-02 00:00:00,78,23,4,5,64,9,12,0,2,0,64066114508.35
CN,All Chinese Companies,Communications,2026-09-02 00:00:00,9,2,0,0,5,1,1,0,0,0,5797386750.15
CN,All Chinese Companies,Consumer Durables,2026-09-02 00:00:00,137,9,3,3,43,10,4,2,4,0,48047337162.44
CN,All Chinese Companies,Consumer Non-Durables,2026-09-02 00:00:00,129,23,6,9,33,2,1,0,3,0,51794922708.49
CN,All Chinese Companies,Consumer Services,2026-09-02 00:00:00,60,10,2,7,7,2,0,0,1,0,23272242066.23
CN,All Chinese Companies,Distribution Services,2026-09-02 00:00:00,61,7,2,3,23,8,0,0,4,0,31543365674.78
CN,All Chinese Companies,Electronic Technology,2026-09-02 00:00:00,231,25,8,11,278,134,27,14,13,1,526632442972.02
CN,All Chinese Companies,Energy Minerals,2026-09-02 00:00:00,17,1,0,2,19,10,1,0,3,0,31086864476.7
CN,All Chinese Companies,Finance,2026-09-02 00:00:00,148,24,4,3,44,7,1,1,10,0,120594729810.74
CN,All Chinese Companies,Health Services,2026-09-02 00:00:00,9,0,0,1,4,0,0,0,0,0,3595367906.4
CN,All Chinese Companies,Health Technology,2026-09-02 00:00:00,269,28,6,7,103,7,5,1,5,0,96204178566.77
CN,All Chinese Companies,Industrial Services,2026-09-02 00:00:00,114,6,2,1,49,10,1,1,5,0,31982223631.99
CN,All Chinese Companies,Miscellaneous,2026-09-02 00:00:00,0,0,0,0,1,0,0,0,0,0,681732.0
CN,All Chinese Companies,Non-Energy Minerals,2026-09-02 00:00:00,119,9,4,2,85,24,10,2,6,1,133032586487.73
CN,All Chinese Companies,Process Industries,2026-09-02 00:00:00,301,41,18,24,182,48,14,11,23,0,235929223303.18
CN,All Chinese Companies,Producer Manufacturing,2026-09-02 00:00:00,477,46,15,14,419,96,43,13,27,0,411588975949.94
CN,All Chinese Companies,Retail Trade,2026-09-02 00:00:00,48,22,4,7,7,2,0,0,1,0,20132008235.4
CN,All Chinese Companies,Technology Services,2026-09-02 00:00:00,166,39,5,13,63,15,5,0,2,0,132709922535.42
CN,All Chinese Companies,Transportation,2026-09-02 00:00:00,95,3,2,1,24,0,1,0,5,0,26428078222.11
CN,All Chinese Companies,Utilities,2026-09-02 00:00:00,100,7,0,2,10,0,0,0,4,0,33640338000.29
CN,Shenzhen Component Index,Commercial Services,2026-09-02 00:00:00,5,1,0,0,1,2,1,0,0,0,20642288521.28
CN,Shenzhen Component Index,Communications,2026-09-02 00:00:00,0,0,0,0,1,0,0,0,0,0,339222542.31
CN,Shenzhen Component Index,Consumer Durables,2026-09-02 00:00:00,9,0,0,0,5,2,0,1,0,0,14158214940.75
