Market,MarketName,Sector,Fetch_Time,up_0_3,up_3_5,up_5_7,up_7_plus,down_0_3,down_3_5,down_5_7,down_7_plus,unchanged,no_trade,total_turnover
JP,Japan 225 Index,Commercial Services,2026-06-05 04:00:00,3,0,0,0,3,0,0,0,0,0,19091370650.0
JP,Japan 225 Index,Communications,2026-06-05 04:00:00,2,0,0,0,2,0,0,0,0,0,352861654500.0
JP,Japan 225 Index,Consumer Durables,2026-06-05 04:00:00,10,1,0,0,10,2,0,0,0,0,217302105300.0
JP,Japan 225 Index,Consumer Non-Durables,2026-06-05 04:00:00,5,1,0,0,5,1,0,0,0,0,48548857900.0
JP,Japan 225 Index,Consumer Services,2026-06-05 04:00:00,2,0,0,0,0,0,0,0,0,0,5881612750.0
JP,Japan 225 Index,Distribution Services,2026-06-05 04:00:00,3,0,0,0,1,1,0,0,0,0,63707316300.0
JP,Japan 225 Index,Electronic Technology,2026-06-05 04:00:00,5,0,0,0,9,3,2,1,0,0,2860251377600.0
JP,Japan 225 Index,Energy Minerals,2026-06-05 04:00:00,1,0,0,0,2,0,0,0,0,0,14459098500.0
JP,Japan 225 Index,Finance,2026-06-05 04:00:00,22,0,1,0,5,0,0,0,0,0,375629089550.0
JP,Japan 225 Index,Health Technology,2026-06-05 04:00:00,3,2,0,0,7,0,0,0,0,0,83387532050.0
JP,Japan 225 Index,Industrial Services,2026-06-05 04:00:00,5,1,0,0,0,0,0,0,0,0,18682024800.0
JP,Japan 225 Index,Non-Energy Minerals,2026-06-05 04:00:00,5,0,0,0,2,1,0,0,0,0,86850426750.0
JP,Japan 225 Index,Process Industries,2026-06-05 04:00:00,5,0,0,0,10,4,0,0,0,0,101944748520.0
JP,Japan 225 Index,Producer Manufacturing,2026-06-05 04:00:00,12,2,0,1,15,1,1,2,0,0,994761735640.0
JP,Japan 225 Index,Retail Trade,2026-06-05 04:00:00,8,1,0,0,2,1,0,0,0,0,69538218200.0
JP,Japan 225 Index,Technology Services,2026-06-05 04:00:00,6,4,1,0,1,0,0,0,0,0,92286899930.0
JP,Japan 225 Index,Transportation,2026-06-05 04:00:00,10,4,0,0,0,0,0,0,0,0,77556513550.0
JP,Japan 225 Index,Utilities,2026-06-05 04:00:00,2,0,0,0,3,0,0,0,0,0,23384498200.0
JP,All Japanese companies,Commercial Services,2026-06-05 04:00:00,189,52,12,4,59,2,3,1,23,1,46460907230.0
JP,All Japanese companies,Communications,2026-06-05 04:00:00,15,3,0,0,4,0,0,0,1,0,355039835000.0
JP,All Japanese companies,Consumer Durables,2026-06-05 04:00:00,71,15,5,1,28,3,1,0,8,0,239904838400.0
JP,All Japanese companies,Consumer Non-Durables,2026-06-05 04:00:00,124,12,1,1,36,5,0,0,9,0,82133945310.0
JP,All Japanese companies,Consumer Services,2026-06-05 04:00:00,160,16,2,1,35,3,0,0,21,0,72756891900.0
JP,All Japanese companies,Distribution Services,2026-06-05 04:00:00,140,14,4,2,49,2,0,0,15,0,91569273050.0
JP,All Japanese companies,Electronic Technology,2026-06-05 04:00:00,97,19,9,13,64,8,2,2,5,0,3082681510600.0
JP,All Japanese companies,Energy Minerals,2026-06-05 04:00:00,3,0,1,0,3,0,0,0,1,0,17085710700.0
JP,All Japanese companies,Finance,2026-06-05 04:00:00,252,31,3,7,56,2,0,0,27,0,507535413410.0
JP,All Japanese companies,Government,2026-06-05 04:00:00,1,0,0,0,0,0,0,0,0,0,4820000.0
JP,All Japanese companies,Health Services,2026-06-05 04:00:00,18,1,2,0,11,0,0,0,2,0,1048680800.0
