Market,MarketName,Sector,Fetch_Time,up_0_3,up_3_5,up_5_7,up_7_plus,down_0_3,down_3_5,down_5_7,down_7_plus,unchanged,no_trade,total_turnover
KR,All South Korean Companies,Commercial Services,2026-06-05 12:00:00,25,3,0,1,38,23,7,5,3,0,265184328549.0
KR,All South Korean Companies,Communications,2026-06-05 12:00:00,2,2,0,0,4,3,2,1,0,0,276338922596.0
KR,All South Korean Companies,Consumer Durables,2026-06-05 12:00:00,17,4,1,1,32,13,4,7,1,0,3655505785867.0
KR,All South Korean Companies,Consumer Non-Durables,2026-06-05 12:00:00,43,6,4,3,70,17,7,3,2,0,558419993326.0
KR,All South Korean Companies,Consumer Services,2026-06-05 12:00:00,26,5,1,5,26,6,1,4,1,0,217015034990.0
KR,All South Korean Companies,Distribution Services,2026-06-05 12:00:00,8,3,2,2,20,12,3,6,4,0,208947671078.0
KR,All South Korean Companies,Electronic Technology,2026-06-05 12:00:00,47,11,5,10,109,75,76,81,9,0,31436773779577.0
KR,All South Korean Companies,Energy Minerals,2026-06-05 12:00:00,1,1,1,0,6,1,0,0,0,0,84720031007.0
KR,All South Korean Companies,Finance,2026-06-05 12:00:00,60,4,2,2,76,18,8,4,21,0,4162173976792.0
KR,All South Korean Companies,Health Services,2026-06-05 12:00:00,2,0,0,0,7,0,0,0,1,0,26913504180.0
KR,All South Korean Companies,Health Technology,2026-06-05 12:00:00,45,15,4,9,132,62,22,16,5,0,1896906763866.0
KR,All South Korean Companies,Industrial Services,2026-06-05 12:00:00,10,3,0,0,26,12,2,1,2,0,539335389222.0
KR,All South Korean Companies,Miscellaneous,2026-06-05 12:00:00,1,0,0,0,3,0,3,0,1,0,10067003270.0
KR,All South Korean Companies,Non-Energy Minerals,2026-06-05 12:00:00,17,2,1,3,56,9,6,9,5,0,365426205559.0
KR,All South Korean Companies,Process Industries,2026-06-05 12:00:00,44,11,1,2,103,37,18,13,1,0,984003491983.0
KR,All South Korean Companies,Producer Manufacturing,2026-06-05 12:00:00,54,12,4,9,166,95,72,40,10,0,8655287022241.0
KR,All South Korean Companies,Retail Trade,2026-06-05 12:00:00,10,4,0,1,15,2,5,3,0,0,304332385952.0
KR,All South Korean Companies,Technology Services,2026-06-05 12:00:00,31,9,6,10,80,51,24,22,7,0,2289868389564.0
KR,All South Korean Companies,Transportation,2026-06-05 12:00:00,9,0,1,0,23,2,1,1,0,0,234639723499.0
KR,All South Korean Companies,Unknown,2026-06-05 12:00:00,0,0,0,0,0,0,0,0,0,1,313039539584.0
KR,All South Korean Companies,Utilities,2026-06-05 12:00:00,5,0,0,0,12,3,2,0,1,0,124336555962.0
KR,KOSPI Composite Index,Commercial Services,2026-06-05 12:00:00,0,1,0,0,9,2,1,0,1,0,73563889218.0
KR,KOSPI Composite Index,Communications,2026-06-05 12:00:00,1,0,0,0,4,1,0,0,0,0,271045861562.0
KR,KOSPI Composite Index,Consumer Durables,2026-06-05 12:00:00,6,2,0,0,15,4,3,1,1,0,3483062617590.0
KR,KOSPI Composite Index,Consumer Non-Durables,2026-06-05 12:00:00,20,3,0,0,44,8,2,1,2,0,459306953091.0
KR,KOSPI Composite Index,Consumer Services,2026-06-05 12:00:00,13,1,1,3,3,1,0,1,0,0,124471554786.0
KR,KOSPI Composite Index,Distribution Services,2026-06-05 12:00:00,4,0,1,0,8,2,1,1,0,0,158806602738.0
KR,KOSPI Composite Index,Electronic Technology,2026-06-05 12:00:00,6,1,1,2,21,11,6,7,2,0,28502086412911.0
KR,KOSPI Composite Index,Energy Minerals,2026-06-05 12:00:00,1,1,0,0,4,1,0,0,0,0,74661709645.0
KR,KOSPI Composite Index,Finance,2026-06-05 12:00:00,27,4,1,1,36,6,3,1,3,0,4026247259038.0
KR,KOSPI Composite Index,Health Technology,2026-06-05 12:00:00,8,2,0,1,36,9,1,2,0,0,633241567933.0
KR,KOSPI Composite Index,Industrial Services,2026-06-05 12:00:00,5,0,0,0,15,4,0,1,1,0,519335757234.0
KR,KOSPI Composite Index,Miscellaneous,2026-06-05 12:00:00,0,0,0,0,2,0,0,0,0,0,22845937240.0
KR,KOSPI Composite Index,Non-Energy Minerals,2026-06-05 12:00:00,12,1,1,0,37,9,2,3,2,0,303205570878.0
KR,KOSPI Composite Index,Process Industries,2026-06-05 12:00:00,21,6,0,0,59,18,9,3,0,0,578190071451.0
KR,KOSPI Composite Index,Producer Manufacturing,2026-06-05 12:00:00,19,1,0,1,63,20,18,6,5,0,5038948679026.0
KR,KOSPI Composite Index,Retail Trade,2026-06-05 12:00:00,6,2,0,0,9,0,3,1,0,0,268944888970.0
KR,KOSPI Composite Index,Technology Services,2026-06-05 12:00:00,3,1,0,0,8,3,3,3,2,0,1717473780991.0
KR,KOSPI Composite Index,Transportation,2026-06-05 12:00:00,8,0,0,0,19,2,0,0,0,0,230473339101.0
KR,KOSPI Composite Index,Utilities,2026-06-05 12:00:00,5,0,0,0,8,2,1,0,1,0,116371696160.0
HK,All Hong Kong Companies,Commercial Services,2026-06-05 12:00:00,16,12,6,11,37,18,6,10,26,0,3177024079.82
HK,All Hong Kong Companies,Communications,2026-06-05 12:00:00,3,1,0,2,8,0,1,1,0,0,575136001.37
HK,All Hong Kong Companies,Consumer Durables,2026-06-05 12:00:00,15,4,7,9,34,11,6,4,19,0,5659339186.26
HK,All Hong Kong Companies,Consumer Non-Durables,2026-06-05 12:00:00,32,8,5,3,44,14,10,4,33,0,6639459621.58
HK,All Hong Kong Companies,Consumer Services,2026-06-05 12:00:00,32,5,6,7,50,17,7,8,32,0,6186719400.87
HK,All Hong Kong Companies,Distribution Services,2026-06-05 12:00:00,22,8,4,9,23,7,3,6,28,1,1462994766.85
HK,All Hong Kong Companies,Electronic Technology,2026-06-05 12:00:00,14,9,4,8,27,22,14,17,16,0,33843689933.66
HK,All Hong Kong Companies,Energy Minerals,2026-06-05 12:00:00,10,1,1,1,8,5,1,1,6,0,297326968.85
HK,All Hong Kong Companies,Finance,2026-06-05 12:00:00,84,21,14,20,122,38,21,23,85,0,24588462530.94
HK,All Hong Kong Companies,Health Services,2026-06-05 12:00:00,9,1,1,3,11,3,1,1,9,0,142488618.36
HK,All Hong Kong Companies,Health Technology,2026-06-05 12:00:00,45,8,1,2,50,16,7,5,18,1,10560227295.04
HK,All Hong Kong Companies,Industrial Services,2026-06-05 12:00:00,32,9,6,11,33,20,9,14,37,0,1213957095.53
HK,All Hong Kong Companies,Miscellaneous,2026-06-05 12:00:00,2,0,1,0,1,2,1,1,3,0,207210699.47
HK,All Hong Kong Companies,Non-Energy Minerals,2026-06-05 12:00:00,9,8,0,0,24,7,4,4,17,0,4969165764.67
HK,All Hong Kong Companies,Process Industries,2026-06-05 12:00:00,15,6,2,3,29,11,7,7,16,0,2998456305.47
HK,All Hong Kong Companies,Producer Manufacturing,2026-06-05 12:00:00,24,8,3,15,41,18,9,16,21,1,10541746559.39
HK,All Hong Kong Companies,Retail Trade,2026-06-05 12:00:00,23,3,4,6,23,5,5,7,22,0,1736477093.97
HK,All Hong Kong Companies,Technology Services,2026-06-05 12:00:00,33,17,4,6,46,22,10,17,20,0,38169968140.32
HK,All Hong Kong Companies,Transportation,2026-06-05 12:00:00,21,1,1,4,19,1,1,3,16,0,3099532124.47
HK,All Hong Kong Companies,Utilities,2026-06-05 12:00:00,11,0,2,1,20,6,1,3,13,0,3436491202.54
HK,Hang Seng Index,Commercial Services,2026-06-05 12:00:00,0,0,0,0,1,0,0,0,0,0,2192218906.02
HK,Hang Seng Index,Communications,2026-06-05 12:00:00,0,0,0,0,3,0,0,0,0,0,1989668985.09
HK,Hang Seng Index,Consumer Durables,2026-06-05 12:00:00,2,0,0,0,6,0,0,0,0,0,4297760525.74
HK,Hang Seng Index,Consumer Non-Durables,2026-06-05 12:00:00,2,0,0,0,5,0,2,0,1,0,3930925920.52
