Market,MarketName,Sector,Fetch_Time,up_0_3,up_3_5,up_5_7,up_7_plus,down_0_3,down_3_5,down_5_7,down_7_plus,unchanged,no_trade,total_turnover
HK,All Hong Kong Companies,Commercial Services,2026-08-08 22:00:00,25,12,10,12,28,12,5,7,32,0,2464424806.98
HK,All Hong Kong Companies,Communications,2026-08-08 22:00:00,5,0,0,2,7,0,0,0,1,0,530646532.44
HK,All Hong Kong Companies,Consumer Durables,2026-08-08 22:00:00,33,4,4,5,24,9,4,4,21,0,4059122658.97
HK,All Hong Kong Companies,Consumer Non-Durables,2026-08-08 22:00:00,35,5,8,13,49,7,5,3,31,0,4433458661.32
HK,All Hong Kong Companies,Consumer Services,2026-08-08 22:00:00,34,8,7,4,46,9,7,10,36,0,3324260395.31
HK,All Hong Kong Companies,Distribution Services,2026-08-08 22:00:00,24,11,6,7,18,8,4,8,24,0,611646074.79
HK,All Hong Kong Companies,Electronic Technology,2026-08-08 22:00:00,45,8,8,17,24,5,1,9,16,0,16664986805.2
HK,All Hong Kong Companies,Energy Minerals,2026-08-08 22:00:00,9,3,1,3,8,2,2,0,5,0,244394033.72
HK,All Hong Kong Companies,Finance,2026-08-08 22:00:00,100,22,18,31,128,22,7,17,78,0,10605413639.91
HK,All Hong Kong Companies,Health Services,2026-08-08 22:00:00,11,5,0,3,14,0,0,4,3,0,161630006.07
HK,All Hong Kong Companies,Health Technology,2026-08-08 22:00:00,34,30,17,24,19,8,3,1,21,0,16269767533.41
HK,All Hong Kong Companies,Industrial Services,2026-08-08 22:00:00,41,10,5,14,40,15,4,9,34,0,506459290.21
HK,All Hong Kong Companies,Miscellaneous,2026-08-08 22:00:00,2,0,1,2,2,3,0,0,1,0,110888430.9
HK,All Hong Kong Companies,Non-Energy Minerals,2026-08-08 22:00:00,26,7,5,5,17,3,2,1,8,0,6731107290.6
HK,All Hong Kong Companies,Process Industries,2026-08-08 22:00:00,25,8,7,9,16,4,4,3,22,0,4167093940.02
HK,All Hong Kong Companies,Producer Manufacturing,2026-08-08 22:00:00,46,16,11,15,33,10,2,4,20,1,10934993080.26
HK,All Hong Kong Companies,Retail Trade,2026-08-08 22:00:00,19,5,1,7,29,7,3,3,23,0,1077343260.62
HK,All Hong Kong Companies,Technology Services,2026-08-08 22:00:00,56,12,8,12,45,11,8,7,21,0,38954781376.98
HK,All Hong Kong Companies,Transportation,2026-08-08 22:00:00,14,5,2,3,24,3,2,3,11,0,1754549529.32
HK,All Hong Kong Companies,Utilities,2026-08-08 22:00:00,11,4,3,2,29,2,2,0,5,0,1763265129.52
EU,All European Companies,Commercial Services,2026-08-08 22:00:00,113,25,5,10,105,15,9,9,102,0,2113136875.3
EU,All European Companies,Communications,2026-08-08 22:00:00,19,0,0,0,30,2,1,1,17,0,1048401462.0
EU,All European Companies,Consumer Durables,2026-08-08 22:00:00,81,8,3,9,65,7,3,0,45,0,1629388181.65
EU,All European Companies,Consumer Non-Durables,2026-08-08 22:00:00,124,13,4,12,93,9,0,5,49,0,3001384503.86
EU,All European Companies,Consumer Services,2026-08-08 22:00:00,89,9,6,5,91,10,2,3,83,0,683206078.54
EU,All European Companies,Distribution Services,2026-08-08 22:00:00,86,10,8,8,56,8,1,3,38,0,555807688.74
EU,All European Companies,Electronic Technology,2026-08-08 22:00:00,105,24,10,13,117,14,10,8,55,0,4209143493.85
EU,All European Companies,Energy Minerals,2026-08-08 22:00:00,46,6,1,5,38,6,1,3,28,0,2571816624.59
EU,All European Companies,Finance,2026-08-08 22:00:00,401,42,17,38,368,30,11,26,346,0,11415785153.49
