Market,MarketName,Sector,Fetch_Time,up_0_3,up_3_5,up_5_7,up_7_plus,down_0_3,down_3_5,down_5_7,down_7_plus,unchanged,no_trade,total_turnover
JP,Japan 225 Index,Commercial Services,2026-08-10 22:00:00,1,3,1,0,0,0,0,1,0,0,49155224800.0
JP,Japan 225 Index,Communications,2026-08-10 22:00:00,1,0,0,0,1,0,1,0,0,0,92009066620.0
JP,Japan 225 Index,Consumer Durables,2026-08-10 22:00:00,14,3,0,0,4,2,0,0,0,0,491030995030.0
JP,Japan 225 Index,Consumer Non-Durables,2026-08-10 22:00:00,6,0,0,0,6,0,0,0,0,0,116854139200.0
JP,Japan 225 Index,Consumer Services,2026-08-10 22:00:00,2,0,0,0,0,0,0,0,0,0,17459707950.0
JP,Japan 225 Index,Distribution Services,2026-08-10 22:00:00,2,0,0,0,3,0,0,0,0,0,93749587050.0
JP,Japan 225 Index,Electronic Technology,2026-08-10 22:00:00,12,2,2,0,4,0,0,0,0,0,2719614883700.0
JP,Japan 225 Index,Energy Minerals,2026-08-10 22:00:00,0,1,0,0,1,0,1,0,0,0,49995245100.0
JP,Japan 225 Index,Finance,2026-08-10 22:00:00,2,0,0,0,20,6,0,0,0,0,522609407800.0
JP,Japan 225 Index,Health Technology,2026-08-10 22:00:00,6,2,0,2,2,0,0,0,0,0,208620430750.0
JP,Japan 225 Index,Industrial Services,2026-08-10 22:00:00,2,0,0,0,3,1,0,0,0,0,46489080200.0
JP,Japan 225 Index,Miscellaneous,2026-08-10 22:00:00,0,0,0,0,1,0,0,0,0,0,157055179200.0
JP,Japan 225 Index,Non-Energy Minerals,2026-08-10 22:00:00,1,1,0,1,4,0,0,1,0,0,332128861740.0
JP,Japan 225 Index,Process Industries,2026-08-10 22:00:00,7,1,1,0,9,1,0,0,0,0,205189804590.0
JP,Japan 225 Index,Producer Manufacturing,2026-08-10 22:00:00,16,3,1,2,10,0,0,0,2,0,1682394720340.0
JP,Japan 225 Index,Retail Trade,2026-08-10 22:00:00,5,0,0,1,5,1,0,0,0,0,157573813080.0
JP,Japan 225 Index,Technology Services,2026-08-10 22:00:00,9,0,0,1,1,0,0,1,0,0,233256353990.0
JP,Japan 225 Index,Transportation,2026-08-10 22:00:00,4,0,0,1,9,0,0,0,0,0,107167597650.0
JP,Japan 225 Index,Utilities,2026-08-10 22:00:00,2,0,0,0,3,0,0,0,0,0,33079119850.0
JP,All Japanese companies,Commercial Services,2026-08-10 22:00:00,188,25,7,5,85,2,3,1,23,0,97856020600.0
JP,All Japanese companies,Communications,2026-08-10 22:00:00,9,1,0,1,8,1,1,1,0,0,98624001820.0
JP,All Japanese companies,Consumer Durables,2026-08-10 22:00:00,73,12,1,2,32,3,1,1,7,0,587355011830.0
JP,All Japanese companies,Consumer Non-Durables,2026-08-10 22:00:00,98,4,2,3,60,1,1,4,15,0,222711618600.0
JP,All Japanese companies,Consumer Services,2026-08-10 22:00:00,110,8,4,5,75,4,0,1,30,0,158496896100.0
JP,All Japanese companies,Distribution Services,2026-08-10 22:00:00,96,13,7,7,79,9,3,0,9,0,163104919300.0
JP,All Japanese companies,Electronic Technology,2026-08-10 22:00:00,108,13,8,13,46,14,3,6,5,0,2953239313950.0
JP,All Japanese companies,Energy Minerals,2026-08-10 22:00:00,1,1,1,0,4,0,1,0,0,0,55487438200.0
JP,All Japanese companies,Finance,2026-08-10 22:00:00,160,7,2,4,150,18,2,3,31,0,767372563070.0
JP,All Japanese companies,Government,2026-08-10 22:00:00,1,0,0,0,0,0,0,0,0,0,2200000.0
JP,All Japanese companies,Health Services,2026-08-10 22:00:00,17,1,1,0,13,1,0,0,1,0,1891895400.0
JP,All Japanese companies,Health Technology,2026-08-10 22:00:00,62,20,3,7,18,3,2,3,12,0,308778215600.0
JP,All Japanese companies,Industrial Services,2026-08-10 22:00:00,74,7,1,3,51,10,3,2,8,0,137676856800.0
JP,All Japanese companies,Miscellaneous,2026-08-10 22:00:00,1,0,0,0,2,1,0,0,0,0,158170140300.0
JP,All Japanese companies,Non-Energy Minerals,2026-08-10 22:00:00,37,5,4,4,29,5,1,2,2,0,434550865490.0
JP,All Japanese companies,Process Industries,2026-08-10 22:00:00,120,15,11,7,65,10,9,5,8,0,411286028690.0
JP,All Japanese companies,Producer Manufacturing,2026-08-10 22:00:00,215,36,10,17,162,23,10,11,18,0,2108466670800.0
JP,All Japanese companies,Retail Trade,2026-08-10 22:00:00,125,3,1,2,68,3,2,2,26,0,283774039150.0
JP,All Japanese companies,Technology Services,2026-08-10 22:00:00,305,36,13,12,160,15,4,7,38,0,378888826254.0
JP,All Japanese companies,Transportation,2026-08-10 22:00:00,53,7,0,2,38,2,1,0,7,0,149407268800.0
JP,All Japanese companies,Utilities,2026-08-10 22:00:00,21,0,0,0,9,0,0,0,2,0,56349009450.0
KR,All South Korean Companies,Commercial Services,2026-08-10 22:00:00,43,15,6,12,17,2,3,3,3,0,196935211701.0
KR,All South Korean Companies,Communications,2026-08-10 22:00:00,2,1,1,2,4,2,0,1,1,0,126681901168.0
KR,All South Korean Companies,Consumer Durables,2026-08-10 22:00:00,28,17,3,4,17,5,2,1,2,0,1032575177477.0
KR,All South Korean Companies,Consumer Non-Durables,2026-08-10 22:00:00,78,11,5,11,33,8,1,2,9,0,502969110101.0
KR,All South Korean Companies,Consumer Services,2026-08-10 22:00:00,37,6,2,2,15,3,2,3,3,0,95605717846.67
KR,All South Korean Companies,Distribution Services,2026-08-10 22:00:00,24,12,7,4,10,1,1,1,0,0,121113176095.0
KR,All South Korean Companies,Electronic Technology,2026-08-10 22:00:00,103,65,77,109,41,7,2,7,11,0,12743149202823.0
KR,All South Korean Companies,Energy Minerals,2026-08-10 22:00:00,3,1,1,0,4,0,0,1,0,0,138214971050.0
KR,All South Korean Companies,Finance,2026-08-10 22:00:00,95,18,3,9,38,4,0,1,20,0,1573579013951.0
KR,All South Korean Companies,Health Services,2026-08-10 22:00:00,2,2,2,4,0,0,0,0,0,0,22600553575.0
KR,All South Korean Companies,Health Technology,2026-08-10 22:00:00,102,65,39,62,31,2,3,4,2,0,1806189486088.0
KR,All South Korean Companies,Industrial Services,2026-08-10 22:00:00,28,9,2,5,8,1,0,0,2,0,213023919983.0
KR,All South Korean Companies,Miscellaneous,2026-08-10 22:00:00,5,2,0,0,0,0,0,0,1,0,3717100150.0
