Market,MarketName,Sector,Fetch_Time,up_0_3,up_3_5,up_5_7,up_7_plus,down_0_3,down_3_5,down_5_7,down_7_plus,unchanged,no_trade,total_turnover
JP,Japan 225 Index,Commercial Services,2026-09-24 00:00:00,1,1,0,0,3,1,0,0,0,0,6641169200.0
JP,Japan 225 Index,Communications,2026-09-24 00:00:00,2,0,0,0,1,0,0,0,0,0,16737663540.0
JP,Japan 225 Index,Consumer Durables,2026-09-24 00:00:00,9,1,0,0,12,0,0,0,1,0,76279323790.0
JP,Japan 225 Index,Consumer Non-Durables,2026-09-24 00:00:00,2,0,0,0,10,0,0,0,0,0,19052866250.0
JP,Japan 225 Index,Consumer Services,2026-09-24 00:00:00,0,0,0,0,2,0,0,0,0,0,4265887950.0
JP,Japan 225 Index,Distribution Services,2026-09-24 00:00:00,1,0,0,0,4,0,0,0,0,0,25004487750.0
JP,Japan 225 Index,Electronic Technology,2026-09-24 00:00:00,12,2,1,2,3,0,0,0,0,0,437936959950.0
JP,Japan 225 Index,Energy Minerals,2026-09-24 00:00:00,2,0,0,0,1,0,0,0,0,0,7601580000.0
JP,Japan 225 Index,Finance,2026-09-24 00:00:00,3,0,0,0,24,0,0,0,1,0,123471540100.0
JP,Japan 225 Index,Health Technology,2026-09-24 00:00:00,6,0,0,0,6,0,0,0,0,0,35215572850.0
JP,Japan 225 Index,Industrial Services,2026-09-24 00:00:00,4,0,0,0,0,1,0,0,1,0,3750136000.0
JP,Japan 225 Index,Miscellaneous,2026-09-24 00:00:00,0,1,0,0,0,0,0,0,0,0,55751007000.0
JP,Japan 225 Index,Non-Energy Minerals,2026-09-24 00:00:00,1,0,0,0,7,0,0,0,0,0,20573759650.0
JP,Japan 225 Index,Process Industries,2026-09-24 00:00:00,15,0,0,0,4,0,0,0,0,0,33543538880.0
JP,Japan 225 Index,Producer Manufacturing,2026-09-24 00:00:00,24,4,1,0,5,0,0,0,0,0,207878027400.0
JP,Japan 225 Index,Retail Trade,2026-09-24 00:00:00,5,0,0,0,7,0,0,0,0,0,33342125700.0
JP,Japan 225 Index,Technology Services,2026-09-24 00:00:00,3,0,0,0,8,1,0,0,0,0,48429679370.0
JP,Japan 225 Index,Transportation,2026-09-24 00:00:00,4,0,0,0,10,0,0,0,0,0,22707221790.0
JP,Japan 225 Index,Utilities,2026-09-24 00:00:00,0,0,0,0,4,1,0,0,0,0,9649361550.0
JP,All Japanese companies,Commercial Services,2026-09-24 00:00:00,154,7,0,3,132,6,1,0,39,0,14969639200.0
JP,All Japanese companies,Communications,2026-09-24 00:00:00,13,0,0,0,6,0,0,0,3,0,17310145440.0
JP,All Japanese companies,Consumer Durables,2026-09-24 00:00:00,70,3,1,0,44,1,1,0,12,0,84212093380.0
JP,All Japanese companies,Consumer Non-Durables,2026-09-24 00:00:00,74,1,1,0,86,2,0,0,24,0,37541507900.0
JP,All Japanese companies,Consumer Services,2026-09-24 00:00:00,82,1,1,2,110,2,1,0,39,0,28245663950.0
JP,All Japanese companies,Distribution Services,2026-09-24 00:00:00,94,6,0,3,84,1,0,0,33,0,39183404550.0
JP,All Japanese companies,Electronic Technology,2026-09-24 00:00:00,143,11,6,4,38,0,0,1,10,0,468213288230.0
JP,All Japanese companies,Energy Minerals,2026-09-24 00:00:00,3,1,0,0,3,0,0,0,1,0,9641308400.0
JP,All Japanese companies,Finance,2026-09-24 00:00:00,103,3,1,4,226,2,1,0,35,0,170923586910.0
JP,All Japanese companies,Government,2026-09-24 00:00:00,0,0,0,1,0,0,0,0,0,0,9600000.0
JP,All Japanese companies,Health Services,2026-09-24 00:00:00,17,0,1,0,9,0,0,0,7,0,257131600.0
JP,All Japanese companies,Health Technology,2026-09-24 00:00:00,55,4,0,0,46,2,0,2,21,0,49904137300.0
JP,All Japanese companies,Industrial Services,2026-09-24 00:00:00,86,2,0,0,45,1,0,0,26,0,15055891750.0
JP,All Japanese companies,Miscellaneous,2026-09-24 00:00:00,1,1,0,0,2,0,0,0,0,0,55869015200.0
JP,All Japanese companies,Non-Energy Minerals,2026-09-24 00:00:00,39,0,0,0,40,0,0,0,10,0,32648877050.0
JP,All Japanese companies,Process Industries,2026-09-24 00:00:00,149,10,4,0,65,0,0,0,22,0,55551798630.0
