Market,MarketName,Sector,Fetch_Time,up_0_3,up_3_5,up_5_7,up_7_plus,down_0_3,down_3_5,down_5_7,down_7_plus,unchanged,no_trade,total_turnover
HK,All Hong Kong Companies,Commercial Services,2026-09-13 00:00:00,20,8,6,10,40,19,3,4,32,0,2159829907.8
HK,All Hong Kong Companies,Communications,2026-09-13 00:00:00,0,2,0,1,9,1,0,1,1,0,914519706.41
HK,All Hong Kong Companies,Consumer Durables,2026-09-13 00:00:00,24,4,3,5,23,11,7,10,19,0,4454935526.3
HK,All Hong Kong Companies,Consumer Non-Durables,2026-09-13 00:00:00,27,12,5,11,45,11,3,8,34,0,5351963645.45
HK,All Hong Kong Companies,Consumer Services,2026-09-13 00:00:00,33,10,4,13,51,15,3,6,26,0,3740578140.84
HK,All Hong Kong Companies,Distribution Services,2026-09-13 00:00:00,19,7,5,6,22,13,5,6,27,0,617413171.81
HK,All Hong Kong Companies,Electronic Technology,2026-09-13 00:00:00,23,6,6,11,38,11,7,9,25,0,12766696902.78
HK,All Hong Kong Companies,Energy Minerals,2026-09-13 00:00:00,5,0,0,1,12,5,0,3,8,0,508413214.82
HK,All Hong Kong Companies,Finance,2026-09-13 00:00:00,68,13,11,20,142,37,15,20,96,0,12211567344.13
HK,All Hong Kong Companies,Health Services,2026-09-13 00:00:00,10,1,1,1,12,4,0,2,9,0,94885853.87
HK,All Hong Kong Companies,Health Technology,2026-09-13 00:00:00,28,9,2,5,60,23,8,11,11,0,13436560619.55
HK,All Hong Kong Companies,Industrial Services,2026-09-13 00:00:00,38,7,6,9,49,18,6,8,30,0,870389647.45
HK,All Hong Kong Companies,Miscellaneous,2026-09-13 00:00:00,1,1,2,1,5,1,0,0,1,0,312680597.86
HK,All Hong Kong Companies,Non-Energy Minerals,2026-09-13 00:00:00,10,4,5,3,20,12,4,6,11,0,5582100137.48
HK,All Hong Kong Companies,Process Industries,2026-09-13 00:00:00,17,10,0,4,35,12,5,4,13,0,2222645763.24
HK,All Hong Kong Companies,Producer Manufacturing,2026-09-13 00:00:00,22,13,4,12,56,19,10,9,14,0,9277097838.17
HK,All Hong Kong Companies,Retail Trade,2026-09-13 00:00:00,23,9,1,3,25,7,3,4,23,0,1277331509.88
HK,All Hong Kong Companies,Technology Services,2026-09-13 00:00:00,40,13,4,11,50,19,7,20,17,0,25529769414.38
HK,All Hong Kong Companies,Transportation,2026-09-13 00:00:00,13,2,3,2,29,2,3,1,13,0,2992267330.75
HK,All Hong Kong Companies,Utilities,2026-09-13 00:00:00,7,1,1,3,24,8,2,1,10,0,2911164071.2
EU,All European Companies,Commercial Services,2026-09-13 00:00:00,91,18,7,9,137,17,2,8,99,0,924693353.26
EU,All European Companies,Communications,2026-09-13 00:00:00,29,2,2,2,21,3,0,2,9,0,1033884795.81
EU,All European Companies,Consumer Durables,2026-09-13 00:00:00,69,13,2,3,78,9,4,2,39,0,1177488989.39
EU,All European Companies,Consumer Non-Durables,2026-09-13 00:00:00,91,6,4,6,123,14,6,7,52,0,2290486500.76
EU,All European Companies,Consumer Services,2026-09-13 00:00:00,85,11,10,15,84,7,6,4,71,0,532685559.53
EU,All European Companies,Distribution Services,2026-09-13 00:00:00,73,12,3,7,67,11,4,6,35,0,594041471.34
EU,All European Companies,Electronic Technology,2026-09-13 00:00:00,108,21,7,12,123,17,7,6,60,0,3367322881.87
EU,All European Companies,Energy Minerals,2026-09-13 00:00:00,34,8,1,6,43,4,3,1,30,1,2145581143.82
EU,All European Companies,Finance,2026-09-13 00:00:00,398,38,16,22,381,39,12,35,320,0,8334744916.2
EU,All European Companies,Government,2026-09-13 00:00:00,0,0,0,0,1,0,0,0,0,0,7626.85
EU,All European Companies,Health Services,2026-09-13 00:00:00,20,4,4,0,19,2,0,2,13,0,199865828.04
EU,All European Companies,Health Technology,2026-09-13 00:00:00,89,19,13,14,182,31,15,17,56,0,1719118230.41
EU,All European Companies,Industrial Services,2026-09-13 00:00:00,93,13,3,10,83,14,2,5,57,0,867430274.52
EU,All European Companies,Miscellaneous,2026-09-13 00:00:00,28,3,0,1,22,2,3,5,30,0,117374470.2
EU,All European Companies,Non-Energy Minerals,2026-09-13 00:00:00,75,23,8,8,108,20,9,12,67,0,1521610642.9
EU,All European Companies,Process Industries,2026-09-13 00:00:00,81,11,6,19,137,25,5,7,63,0,1180805223.78
EU,All European Companies,Producer Manufacturing,2026-09-13 00:00:00,175,33,10,17,188,19,14,19,93,0,2918201950.65
EU,All European Companies,Retail Trade,2026-09-13 00:00:00,69,8,2,6,73,7,5,5,31,0,865525706.48
EU,All European Companies,Technology Services,2026-09-13 00:00:00,193,31,16,49,200,36,19,20,172,0,1649530501.72
EU,All European Companies,Transportation,2026-09-13 00:00:00,56,5,1,3,52,1,0,3,28,0,936582678.0
EU,All European Companies,Unknown,2026-09-13 00:00:00,20,1,2,6,31,7,1,4,11,0,112897429.48
EU,All European Companies,Utilities,2026-09-13 00:00:00,62,11,11,5,112,10,2,3,35,0,1793967037.45
EU,STOXX 600,Commercial Services,2026-09-13 00:00:00,10,1,0,0,15,1,0,0,1,0,848896063.32
EU,STOXX 600,Communications,2026-09-13 00:00:00,12,0,0,0,4,0,0,0,0,0,703920933.98
EU,STOXX 600,Consumer Durables,2026-09-13 00:00:00,14,0,0,0,11,0,0,0,1,0,1192253986.94
EU,STOXX 600,Consumer Non-Durables,2026-09-13 00:00:00,14,0,0,0,24,2,0,0,0,0,2333117445.3
EU,STOXX 600,Consumer Services,2026-09-13 00:00:00,8,0,0,0,6,0,0,0,0,0,319953167.66
EU,STOXX 600,Distribution Services,2026-09-13 00:00:00,9,1,0,0,5,0,0,0,0,0,441693791.75
EU,STOXX 600,Electronic Technology,2026-09-13 00:00:00,15,6,0,0,8,1,0,0,0,0,3090802857.55
EU,STOXX 600,Energy Minerals,2026-09-13 00:00:00,6,0,0,0,5,0,0,0,0,0,1185953894.49
EU,STOXX 600,Finance,2026-09-13 00:00:00,102,0,1,0,37,0,0,1,4,0,6702254120.54
EU,STOXX 600,Health Services,2026-09-13 00:00:00,1,0,0,0,2,0,0,0,0,0,149176225.1
EU,STOXX 600,Health Technology,2026-09-13 00:00:00,14,0,0,0,23,2,0,0,1,0,2411735796.31
EU,STOXX 600,Industrial Services,2026-09-13 00:00:00,18,0,0,0,3,0,0,0,0,0,584795440.88
EU,STOXX 600,Miscellaneous,2026-09-13 00:00:00,1,0,0,0,1,0,0,0,0,0,66136797.05
EU,STOXX 600,Non-Energy Minerals,2026-09-13 00:00:00,13,1,0,0,7,1,0,0,0,0,895485600.37
EU,STOXX 600,Process Industries,2026-09-13 00:00:00,6,1,0,0,18,1,0,0,0,0,652925991.81
