Market,MarketName,Sector,Fetch_Time,up_0_3,up_3_5,up_5_7,up_7_plus,down_0_3,down_3_5,down_5_7,down_7_plus,unchanged,no_trade,total_turnover
JP,Japan 225 Index,Commercial Services,2026-09-23 00:00:00,2,0,0,0,4,0,0,0,0,0,52258915250.0
JP,Japan 225 Index,Communications,2026-09-23 00:00:00,0,0,0,0,3,0,0,0,0,0,116669756190.0
JP,Japan 225 Index,Consumer Durables,2026-09-23 00:00:00,3,0,0,0,19,1,0,0,0,0,485627823240.0
JP,Japan 225 Index,Consumer Non-Durables,2026-09-23 00:00:00,1,0,0,0,8,3,0,0,0,0,134738071800.0
JP,Japan 225 Index,Consumer Services,2026-09-23 00:00:00,0,0,0,0,2,0,0,0,0,0,24917601250.0
JP,Japan 225 Index,Distribution Services,2026-09-23 00:00:00,1,0,0,0,4,0,0,0,0,0,215071525100.0
JP,Japan 225 Index,Electronic Technology,2026-09-23 00:00:00,4,4,2,2,8,0,0,0,0,0,3314301000700.0
JP,Japan 225 Index,Energy Minerals,2026-09-23 00:00:00,0,0,0,0,3,0,0,0,0,0,59444122600.0
JP,Japan 225 Index,Finance,2026-09-23 00:00:00,1,0,0,0,27,0,0,0,0,0,876917917900.0
JP,Japan 225 Index,Health Technology,2026-09-23 00:00:00,5,0,0,0,7,0,0,0,0,0,216506586500.0
JP,Japan 225 Index,Industrial Services,2026-09-23 00:00:00,0,1,0,0,5,0,0,0,0,0,55069076150.0
JP,Japan 225 Index,Miscellaneous,2026-09-23 00:00:00,1,0,0,0,0,0,0,0,0,0,570192085500.0
JP,Japan 225 Index,Non-Energy Minerals,2026-09-23 00:00:00,1,1,0,1,5,0,0,0,0,0,141996899700.0
JP,Japan 225 Index,Process Industries,2026-09-23 00:00:00,3,0,0,0,14,2,0,0,0,0,264224480920.0
JP,Japan 225 Index,Producer Manufacturing,2026-09-23 00:00:00,16,5,1,0,11,0,0,0,1,0,1190708999320.0
JP,Japan 225 Index,Retail Trade,2026-09-23 00:00:00,3,0,0,0,9,0,0,0,0,0,212069137440.0
JP,Japan 225 Index,Technology Services,2026-09-23 00:00:00,4,0,0,0,7,1,0,0,0,0,251160259450.0
JP,Japan 225 Index,Transportation,2026-09-23 00:00:00,1,0,0,0,13,0,0,0,0,0,162326768470.0
JP,Japan 225 Index,Utilities,2026-09-23 00:00:00,0,0,0,0,5,0,0,0,0,0,72010577710.0
JP,All Japanese companies,Commercial Services,2026-09-23 00:00:00,146,13,3,4,138,7,2,4,24,1,121610552610.0
JP,All Japanese companies,Communications,2026-09-23 00:00:00,11,0,0,0,9,0,0,0,2,0,122111872090.0
JP,All Japanese companies,Consumer Durables,2026-09-23 00:00:00,39,1,1,0,74,2,1,1,13,0,567147331940.0
JP,All Japanese companies,Consumer Non-Durables,2026-09-23 00:00:00,52,2,1,0,111,6,0,0,16,0,270965576070.0
JP,All Japanese companies,Consumer Services,2026-09-23 00:00:00,87,3,1,2,109,2,0,0,33,1,151177607750.0
JP,All Japanese companies,Distribution Services,2026-09-23 00:00:00,79,5,2,2,114,2,2,0,15,0,301533580100.0
JP,All Japanese companies,Electronic Technology,2026-09-23 00:00:00,91,21,10,11,66,2,0,1,11,0,3520172050100.0
JP,All Japanese companies,Energy Minerals,2026-09-23 00:00:00,2,0,0,0,5,1,0,0,0,0,70251085800.0
JP,All Japanese companies,Finance,2026-09-23 00:00:00,127,12,4,1,202,3,2,1,22,1,1297687244890.0
JP,All Japanese companies,Government,2026-09-23 00:00:00,0,0,0,1,0,0,0,0,0,0,9600000.0
JP,All Japanese companies,Health Services,2026-09-23 00:00:00,14,1,0,0,15,0,0,0,4,0,1687588700.0
