Market,MarketName,Sector,Fetch_Time,up_0_3,up_3_5,up_5_7,up_7_plus,down_0_3,down_3_5,down_5_7,down_7_plus,unchanged,no_trade,total_turnover
JP,Japan 225 Index,Commercial Services,2026-08-04 23:00:00,1,0,0,0,5,0,0,0,0,0,37489297450.0
JP,Japan 225 Index,Communications,2026-08-04 23:00:00,0,0,0,0,3,1,0,0,0,0,344529670580.0
JP,Japan 225 Index,Consumer Durables,2026-08-04 23:00:00,5,1,0,1,14,1,0,1,0,0,565162061820.0
JP,Japan 225 Index,Consumer Non-Durables,2026-08-04 23:00:00,2,1,0,0,8,0,0,1,0,0,124343569750.0
JP,Japan 225 Index,Consumer Services,2026-08-04 23:00:00,0,0,0,0,1,1,0,0,0,0,30991524650.0
JP,Japan 225 Index,Distribution Services,2026-08-04 23:00:00,2,0,1,0,2,0,0,0,0,0,148875782850.0
JP,Japan 225 Index,Electronic Technology,2026-08-04 23:00:00,5,3,3,1,7,1,0,0,0,0,4089326373450.0
JP,Japan 225 Index,Energy Minerals,2026-08-04 23:00:00,0,0,0,0,3,0,0,0,0,0,20881433800.0
JP,Japan 225 Index,Finance,2026-08-04 23:00:00,9,0,0,0,17,0,0,0,2,0,585497008600.0
JP,Japan 225 Index,Health Technology,2026-08-04 23:00:00,2,1,0,0,7,2,0,0,0,0,204356278350.0
JP,Japan 225 Index,Industrial Services,2026-08-04 23:00:00,6,0,0,0,0,0,0,0,0,0,29647514600.0
JP,Japan 225 Index,Non-Energy Minerals,2026-08-04 23:00:00,5,1,0,0,2,0,0,0,0,0,103084234200.0
JP,Japan 225 Index,Process Industries,2026-08-04 23:00:00,7,2,0,0,7,2,1,0,0,0,282475508640.0
JP,Japan 225 Index,Producer Manufacturing,2026-08-04 23:00:00,14,8,2,4,5,1,0,0,0,0,1615501341240.0
JP,Japan 225 Index,Retail Trade,2026-08-04 23:00:00,3,0,0,0,9,0,0,0,0,0,168399408590.0
JP,Japan 225 Index,Technology Services,2026-08-04 23:00:00,2,1,0,0,8,1,0,0,0,0,175879423260.0
JP,Japan 225 Index,Transportation,2026-08-04 23:00:00,0,1,0,0,12,0,1,0,0,0,138378633080.0
JP,Japan 225 Index,Utilities,2026-08-04 23:00:00,0,0,0,0,5,0,0,0,0,0,42627293870.0
JP,All Japanese companies,Commercial Services,2026-08-04 23:00:00,113,9,6,2,156,5,1,1,47,1,74604304370.0
JP,All Japanese companies,Communications,2026-08-04 23:00:00,6,3,0,0,12,1,0,0,1,0,347978946480.0
JP,All Japanese companies,Consumer Durables,2026-08-04 23:00:00,49,5,0,1,61,4,0,1,12,0,633296925820.0
JP,All Japanese companies,Consumer Non-Durables,2026-08-04 23:00:00,50,5,1,0,114,3,3,1,11,0,225398066460.0
