Market,MarketName,Sector,Fetch_Time,up_0_3,up_3_5,up_5_7,up_7_plus,down_0_3,down_3_5,down_5_7,down_7_plus,unchanged,no_trade,total_turnover
JP,Japan 225 Index,Commercial Services,2026-08-13 23:00:00,1,0,0,1,4,0,0,0,0,0,70849440100.0
JP,Japan 225 Index,Communications,2026-08-13 23:00:00,2,0,0,0,1,0,0,0,0,0,84345013600.0
JP,Japan 225 Index,Consumer Durables,2026-08-13 23:00:00,7,0,0,0,15,0,0,0,1,0,399025129790.0
JP,Japan 225 Index,Consumer Non-Durables,2026-08-13 23:00:00,7,1,0,0,3,1,0,0,0,0,127257379950.0
JP,Japan 225 Index,Consumer Services,2026-08-13 23:00:00,1,0,0,0,1,0,0,0,0,0,20577871800.0
JP,Japan 225 Index,Distribution Services,2026-08-13 23:00:00,0,1,0,0,4,0,0,0,0,0,100607402700.0
JP,Japan 225 Index,Electronic Technology,2026-08-13 23:00:00,9,4,2,1,4,0,0,0,0,0,3905576290250.0
JP,Japan 225 Index,Energy Minerals,2026-08-13 23:00:00,1,0,0,0,2,0,0,0,0,0,30254951250.0
JP,Japan 225 Index,Finance,2026-08-13 23:00:00,21,3,0,0,4,0,0,0,0,0,610757117150.0
JP,Japan 225 Index,Health Technology,2026-08-13 23:00:00,6,0,0,0,6,0,0,0,0,0,160481787350.0
JP,Japan 225 Index,Industrial Services,2026-08-13 23:00:00,4,0,0,0,0,0,0,0,2,0,34419224250.0
JP,Japan 225 Index,Miscellaneous,2026-08-13 23:00:00,1,0,0,0,0,0,0,0,0,0,149113410000.0
JP,Japan 225 Index,Non-Energy Minerals,2026-08-13 23:00:00,5,0,0,0,3,0,0,0,0,0,169194540970.0
JP,Japan 225 Index,Process Industries,2026-08-13 23:00:00,6,1,0,0,12,0,0,0,0,0,207586562930.0
JP,Japan 225 Index,Producer Manufacturing,2026-08-13 23:00:00,18,5,1,0,9,1,0,0,0,0,1572596457960.0
JP,Japan 225 Index,Retail Trade,2026-08-13 23:00:00,6,0,0,0,6,0,0,0,0,0,216295761640.0
JP,Japan 225 Index,Technology Services,2026-08-13 23:00:00,4,0,0,0,8,0,0,0,0,0,203930815020.0
JP,Japan 225 Index,Transportation,2026-08-13 23:00:00,10,0,0,0,4,0,0,0,0,0,102029422390.0
JP,Japan 225 Index,Utilities,2026-08-13 23:00:00,2,1,0,0,2,0,0,0,0,0,45885453470.0
JP,All Japanese companies,Commercial Services,2026-08-13 23:00:00,149,16,3,5,122,6,3,3,32,0,124721406540.0
JP,All Japanese companies,Communications,2026-08-13 23:00:00,11,1,0,0,9,0,0,0,1,0,89685828300.0
JP,All Japanese companies,Consumer Durables,2026-08-13 23:00:00,58,3,3,1,53,0,1,0,13,0,459386562090.0
JP,All Japanese companies,Consumer Non-Durables,2026-08-13 23:00:00,97,6,0,2,65,2,1,0,15,0,218537839250.0
JP,All Japanese companies,Consumer Services,2026-08-13 23:00:00,123,7,1,2,77,4,2,2,19,0,131272115700.0
JP,All Japanese companies,Distribution Services,2026-08-13 23:00:00,98,16,3,0,83,5,1,1,16,0,161537827950.0
JP,All Japanese companies,Electronic Technology,2026-08-13 23:00:00,105,35,14,5,41,2,5,0,9,0,4139489341250.0
JP,All Japanese companies,Energy Minerals,2026-08-13 23:00:00,2,0,1,0,5,0,0,0,0,0,35861081950.0
JP,All Japanese companies,Finance,2026-08-13 23:00:00,161,38,24,9,116,1,1,3,23,0,863763716880.0
JP,All Japanese companies,Government,2026-08-13 23:00:00,0,1,0,0,0,0,0,0,0,0,2280000.0
JP,All Japanese companies,Health Services,2026-08-13 23:00:00,15,1,0,0,14,0,1,0,3,0,2402602900.0
JP,All Japanese companies,Health Technology,2026-08-13 23:00:00,55,9,3,4,38,3,1,0,17,0,247675350300.0
JP,All Japanese companies,Industrial Services,2026-08-13 23:00:00,87,5,2,1,44,4,3,0,13,0,101832254150.0
JP,All Japanese companies,Miscellaneous,2026-08-13 23:00:00,2,0,0,0,1,1,0,0,0,0,151258427700.0
JP,All Japanese companies,Non-Energy Minerals,2026-08-13 23:00:00,46,2,2,0,31,1,0,1,6,0,263881520320.0
JP,All Japanese companies,Process Industries,2026-08-13 23:00:00,121,20,5,5,86,1,0,0,12,0,409391889830.0
JP,All Japanese companies,Producer Manufacturing,2026-08-13 23:00:00,253,30,4,9,160,7,2,4,33,0,2007822803410.0
JP,All Japanese companies,Retail Trade,2026-08-13 23:00:00,108,2,0,0,88,3,1,1,28,0,324187487150.0
JP,All Japanese companies,Technology Services,2026-08-13 23:00:00,213,34,8,12,235,15,9,18,46,0,371719909846.0
JP,All Japanese companies,Transportation,2026-08-13 23:00:00,50,2,0,0,47,5,0,0,6,0,134915624840.0
JP,All Japanese companies,Utilities,2026-08-13 23:00:00,20,5,0,0,5,1,1,0,0,0,75464733340.0
KR,All South Korean Companies,Commercial Services,2026-08-13 23:00:00,27,3,1,4,47,6,5,3,7,0,206128313324.0
KR,All South Korean Companies,Communications,2026-08-13 23:00:00,2,1,1,1,3,2,0,2,2,0,311367209779.0
KR,All South Korean Companies,Consumer Durables,2026-08-13 23:00:00,23,3,2,3,35,4,1,2,7,0,1795541443186.0
KR,All South Korean Companies,Consumer Non-Durables,2026-08-13 23:00:00,36,5,3,0,72,14,8,14,5,0,1075756291421.0
KR,All South Korean Companies,Consumer Services,2026-08-13 23:00:00,12,0,0,1,41,8,4,4,3,0,176368420166.67
KR,All South Korean Companies,Distribution Services,2026-08-13 23:00:00,16,3,2,1,28,2,2,4,2,0,92254486966.0
KR,All South Korean Companies,Electronic Technology,2026-08-13 23:00:00,125,36,16,24,159,25,12,10,13,1,23233764764743.0
KR,All South Korean Companies,Energy Minerals,2026-08-13 23:00:00,2,0,0,0,6,0,0,1,0,0,125457887450.0
KR,All South Korean Companies,Finance,2026-08-13 23:00:00,62,7,4,5,77,8,2,0,22,0,2771156283017.0
KR,All South Korean Companies,Health Services,2026-08-13 23:00:00,1,1,0,1,4,1,0,1,1,0,30136775265.0
KR,All South Korean Companies,Health Technology,2026-08-13 23:00:00,63,10,4,11,151,29,10,16,19,0,1456449283764.0
KR,All South Korean Companies,Industrial Services,2026-08-13 23:00:00,10,3,1,2,29,6,1,3,0,0,409185569535.0
KR,All South Korean Companies,Miscellaneous,2026-08-13 23:00:00,2,0,0,0,3,0,1,0,2,0,9047596862.0
KR,All South Korean Companies,Non-Energy Minerals,2026-08-13 23:00:00,25,3,3,1,57,8,5,4,2,0,379613207057.0
KR,All South Korean Companies,Process Industries,2026-08-13 23:00:00,48,4,5,9,124,15,6,5,11,0,740842933247.0
KR,All South Korean Companies,Producer Manufacturing,2026-08-13 23:00:00,146,25,16,20,196,23,4,14,18,0,5260940558091.0
KR,All South Korean Companies,Retail Trade,2026-08-13 23:00:00,14,1,2,0,20,0,0,3,1,0,438176176330.0
KR,All South Korean Companies,Technology Services,2026-08-13 23:00:00,57,9,11,9,101,29,8,7,8,0,1271987634544.0
KR,All South Korean Companies,Transportation,2026-08-13 23:00:00,8,0,0,0,23,2,4,0,0,0,226647730371.0
KR,All South Korean Companies,Utilities,2026-08-13 23:00:00,6,0,0,2,14,0,1,0,0,0,683585192566.0
KR,KOSPI Composite Index,Commercial Services,2026-08-13 23:00:00,4,0,0,1,9,1,0,0,0,0,122676192076.0
KR,KOSPI Composite Index,Communications,2026-08-13 23:00:00,1,1,0,0,3,0,0,1,0,0,304279172755.0
KR,KOSPI Composite Index,Consumer Durables,2026-08-13 23:00:00,8,2,0,1,15,2,0,0,4,0,1663383334961.0
KR,KOSPI Composite Index,Consumer Non-Durables,2026-08-13 23:00:00,18,2,0,0,43,6,2,5,4,0,962192323354.0
KR,KOSPI Composite Index,Consumer Services,2026-08-13 23:00:00,4,0,0,0,14,4,0,1,0,0,61843546726.0
KR,KOSPI Composite Index,Distribution Services,2026-08-13 23:00:00,3,0,1,0,9,0,1,1,1,0,46737012028.0
KR,KOSPI Composite Index,Electronic Technology,2026-08-13 23:00:00,18,9,5,5,18,1,0,0,1,0,20952522552132.0
KR,KOSPI Composite Index,Energy Minerals,2026-08-13 23:00:00,2,0,0,0,5,0,0,0,0,0,119629012500.0
KR,KOSPI Composite Index,Finance,2026-08-13 23:00:00,22,4,2,2,40,5,1,0,3,0,2574897788962.0
KR,KOSPI Composite Index,Health Technology,2026-08-13 23:00:00,10,2,0,1,35,6,1,0,4,0,417269218036.0
KR,KOSPI Composite Index,Industrial Services,2026-08-13 23:00:00,5,2,0,1,12,5,0,1,0,0,355193784687.0
KR,KOSPI Composite Index,Miscellaneous,2026-08-13 23:00:00,0,0,0,0,1,0,0,0,1,0,52825985060.0
KR,KOSPI Composite Index,Non-Energy Minerals,2026-08-13 23:00:00,17,3,3,0,36,5,1,2,0,0,293165790921.0
KR,KOSPI Composite Index,Process Industries,2026-08-13 23:00:00,27,1,2,5,66,7,1,1,4,0,508824680232.0
KR,KOSPI Composite Index,Producer Manufacturing,2026-08-13 23:00:00,48,6,5,4,58,6,1,0,5,0,3025490573376.0
KR,KOSPI Composite Index,Retail Trade,2026-08-13 23:00:00,6,0,2,0,11,0,0,0,1,0,265507762340.0
KR,KOSPI Composite Index,Technology Services,2026-08-13 23:00:00,6,1,1,1,12,1,0,0,0,0,880835295583.0
KR,KOSPI Composite Index,Transportation,2026-08-13 23:00:00,6,0,0,0,19,2,2,0,0,0,224852116127.0
KR,KOSPI Composite Index,Utilities,2026-08-13 23:00:00,3,0,0,2,11,0,1,0,0,0,666529176665.0
TW,All Taiwan Companies,Commercial Services,2026-08-13 23:00:00,19,1,1,4,27,1,0,0,6,0,14996156691.1
TW,All Taiwan Companies,Communications,2026-08-13 23:00:00,0,0,0,0,6,0,0,0,2,0,3677092727.1
TW,All Taiwan Companies,Consumer Durables,2026-08-13 23:00:00,31,1,3,2,60,7,2,2,17,0,8297705681.79
TW,All Taiwan Companies,Consumer Non-Durables,2026-08-13 23:00:00,19,1,0,0,36,2,0,0,7,0,1758437653.7
TW,All Taiwan Companies,Consumer Services,2026-08-13 23:00:00,23,1,0,0,38,0,1,1,14,0,565680429.43
TW,All Taiwan Companies,Distribution Services,2026-08-13 23:00:00,28,5,0,0,35,6,1,0,6,0,14088424580.2
