Market,MarketName,Sector,Fetch_Time,up_0_3,up_3_5,up_5_7,up_7_plus,down_0_3,down_3_5,down_5_7,down_7_plus,unchanged,no_trade,total_turnover
JP,Japan 225 Index,Commercial Services,2026-07-14 23:00:00,4,1,0,0,0,1,0,0,0,0,50553279000.0
JP,Japan 225 Index,Communications,2026-07-14 23:00:00,2,1,0,0,0,0,0,0,0,0,453844169120.0
JP,Japan 225 Index,Consumer Durables,2026-07-14 23:00:00,14,0,0,0,6,1,1,0,1,0,344213205790.0
JP,Japan 225 Index,Consumer Non-Durables,2026-07-14 23:00:00,11,0,1,0,0,0,0,0,0,0,139406231700.0
JP,Japan 225 Index,Consumer Services,2026-07-14 23:00:00,1,1,0,0,0,0,0,0,0,0,36964621150.0
JP,Japan 225 Index,Distribution Services,2026-07-14 23:00:00,6,0,0,0,0,0,0,0,0,0,139716319960.0
JP,Japan 225 Index,Electronic Technology,2026-07-14 23:00:00,9,2,0,0,7,2,0,0,0,0,5261711777200.0
JP,Japan 225 Index,Energy Minerals,2026-07-14 23:00:00,2,1,0,0,0,0,0,0,0,0,34683618300.0
JP,Japan 225 Index,Finance,2026-07-14 23:00:00,27,0,0,0,1,0,0,0,0,0,588638550150.0
JP,Japan 225 Index,Health Technology,2026-07-14 23:00:00,10,0,0,0,1,0,0,0,1,0,135185192850.0
JP,Japan 225 Index,Industrial Services,2026-07-14 23:00:00,1,0,0,0,5,0,0,0,0,0,27598568900.0
JP,Japan 225 Index,Non-Energy Minerals,2026-07-14 23:00:00,6,1,0,0,1,0,0,0,0,0,114416145980.0
JP,Japan 225 Index,Process Industries,2026-07-14 23:00:00,13,6,0,0,0,0,0,0,0,0,180652515120.0
JP,Japan 225 Index,Producer Manufacturing,2026-07-14 23:00:00,14,1,0,0,17,1,0,1,0,0,1447905965020.0
JP,Japan 225 Index,Retail Trade,2026-07-14 23:00:00,10,0,0,0,2,0,0,0,0,0,176343520560.0
JP,Japan 225 Index,Technology Services,2026-07-14 23:00:00,10,2,0,0,0,0,0,0,0,0,162082360860.0
JP,Japan 225 Index,Transportation,2026-07-14 23:00:00,12,2,0,0,0,0,0,0,0,0,101928119370.0
JP,Japan 225 Index,Utilities,2026-07-14 23:00:00,4,1,0,0,0,0,0,0,0,0,49664968060.0
JP,All Japanese companies,Commercial Services,2026-07-14 23:00:00,191,16,1,4,86,4,1,0,38,0,86085810840.0
JP,All Japanese companies,Communications,2026-07-14 23:00:00,11,2,0,0,6,0,0,0,3,0,458120730420.0
JP,All Japanese companies,Consumer Durables,2026-07-14 23:00:00,81,8,0,0,28,3,1,0,12,0,386172979290.0
JP,All Japanese companies,Consumer Non-Durables,2026-07-14 23:00:00,117,6,3,0,44,1,0,1,16,0,221693749960.0
JP,All Japanese companies,Consumer Services,2026-07-14 23:00:00,134,11,5,2,62,0,1,0,21,0,134241404300.0
JP,All Japanese companies,Distribution Services,2026-07-14 23:00:00,144,8,3,1,53,1,1,1,13,0,189395638660.0
JP,All Japanese companies,Electronic Technology,2026-07-14 23:00:00,111,9,1,3,74,8,3,1,6,1,5471450744950.0
JP,All Japanese companies,Energy Minerals,2026-07-14 23:00:00,4,2,0,0,1,0,0,0,1,0,42079650200.0
JP,All Japanese companies,Finance,2026-07-14 23:00:00,277,11,2,2,59,2,1,2,20,0,809546588370.0
JP,All Japanese companies,Government,2026-07-14 23:00:00,0,1,0,0,0,0,0,0,0,0,2323000.0
JP,All Japanese companies,Health Services,2026-07-14 23:00:00,15,1,0,1,14,0,0,0,3,0,1489628200.0
JP,All Japanese companies,Health Technology,2026-07-14 23:00:00,67,4,0,2,42,2,1,0,12,0,197043567700.0
JP,All Japanese companies,Industrial Services,2026-07-14 23:00:00,88,5,0,0,49,3,1,0,12,0,73596186250.0
JP,All Japanese companies,Miscellaneous,2026-07-14 23:00:00,2,0,0,1,0,0,0,0,1,0,505064000.0
JP,All Japanese companies,Non-Energy Minerals,2026-07-14 23:00:00,56,6,0,1,20,0,0,1,5,0,215772325580.0
JP,All Japanese companies,Process Industries,2026-07-14 23:00:00,169,15,2,0,52,4,0,1,8,0,292726784720.0
JP,All Japanese companies,Producer Manufacturing,2026-07-14 23:00:00,255,19,6,5,167,5,4,2,41,0,1871908397870.0
JP,All Japanese companies,Retail Trade,2026-07-14 23:00:00,144,6,2,2,52,3,0,0,21,0,286562772560.0
