Market,MarketName,Sector,Fetch_Time,up_0_3,up_3_5,up_5_7,up_7_plus,down_0_3,down_3_5,down_5_7,down_7_plus,unchanged,no_trade,total_turnover
JP,Japan 225 Index,Commercial Services,2026-07-15 23:00:00,2,0,0,0,3,0,1,0,0,0,47322877300.0
JP,Japan 225 Index,Communications,2026-07-15 23:00:00,2,0,0,0,1,1,0,0,0,0,369307940250.0
JP,Japan 225 Index,Consumer Durables,2026-07-15 23:00:00,16,2,0,0,5,0,0,0,0,0,338432977440.0
JP,Japan 225 Index,Consumer Non-Durables,2026-07-15 23:00:00,3,0,0,0,7,1,0,0,1,0,119352297650.0
JP,Japan 225 Index,Consumer Services,2026-07-15 23:00:00,0,0,0,0,1,1,0,0,0,0,28070014900.0
JP,Japan 225 Index,Distribution Services,2026-07-15 23:00:00,4,0,0,0,1,0,0,0,0,0,102790288800.0
JP,Japan 225 Index,Electronic Technology,2026-07-15 23:00:00,11,0,3,2,3,0,0,0,1,0,4309556727750.0
JP,Japan 225 Index,Energy Minerals,2026-07-15 23:00:00,2,0,0,0,1,0,0,0,0,0,30510031500.0
JP,Japan 225 Index,Finance,2026-07-15 23:00:00,26,2,0,0,0,0,0,0,0,0,654319296400.0
JP,Japan 225 Index,Health Technology,2026-07-15 23:00:00,0,0,0,0,12,0,0,0,0,0,130719234000.0
JP,Japan 225 Index,Industrial Services,2026-07-15 23:00:00,4,2,0,0,0,0,0,0,0,0,33835561400.0
JP,Japan 225 Index,Non-Energy Minerals,2026-07-15 23:00:00,8,0,0,0,0,0,0,0,0,0,86040562440.0
JP,Japan 225 Index,Process Industries,2026-07-15 23:00:00,13,3,0,0,2,0,0,1,0,0,193397945750.0
JP,Japan 225 Index,Producer Manufacturing,2026-07-15 23:00:00,23,4,2,1,3,1,0,0,0,0,1282204040390.0
JP,Japan 225 Index,Retail Trade,2026-07-15 23:00:00,4,0,0,0,6,1,0,0,1,0,175051877180.0
JP,Japan 225 Index,Technology Services,2026-07-15 23:00:00,1,0,0,0,8,3,0,0,0,0,162425461140.0
JP,Japan 225 Index,Transportation,2026-07-15 23:00:00,8,1,0,0,5,0,0,0,0,0,95481782810.0
JP,Japan 225 Index,Utilities,2026-07-15 23:00:00,4,1,0,0,0,0,0,0,0,0,42958121970.0
JP,All Japanese companies,Commercial Services,2026-07-15 23:00:00,153,15,4,9,120,2,3,3,32,0,86371357700.0
JP,All Japanese companies,Communications,2026-07-15 23:00:00,11,0,0,0,6,1,0,0,5,0,372587775250.0
JP,All Japanese companies,Consumer Durables,2026-07-15 23:00:00,80,6,1,0,37,3,0,1,5,0,379280062540.0
JP,All Japanese companies,Consumer Non-Durables,2026-07-15 23:00:00,88,5,1,0,73,3,1,1,16,0,191293454160.0
JP,All Japanese companies,Consumer Services,2026-07-15 23:00:00,114,5,3,2,85,5,1,1,20,0,108597532150.0
JP,All Japanese companies,Distribution Services,2026-07-15 23:00:00,137,9,4,1,49,6,0,1,17,0,155634888350.0
JP,All Japanese companies,Electronic Technology,2026-07-15 23:00:00,125,32,12,7,33,0,0,1,6,1,4498947445850.0
JP,All Japanese companies,Energy Minerals,2026-07-15 23:00:00,3,1,0,0,3,0,0,0,1,0,35847846700.0
JP,All Japanese companies,Finance,2026-07-15 23:00:00,234,39,10,3,68,0,0,1,21,0,900457927450.0
JP,All Japanese companies,Government,2026-07-15 23:00:00,0,0,0,0,1,0,0,0,0,0,2300000.0
JP,All Japanese companies,Health Services,2026-07-15 23:00:00,23,1,0,1,5,0,0,1,3,0,2065915100.0
JP,All Japanese companies,Health Technology,2026-07-15 23:00:00,53,19,6,4,36,2,1,0,9,0,199719320650.0
JP,All Japanese companies,Industrial Services,2026-07-15 23:00:00,95,17,3,1,32,3,0,1,6,0,82333228400.0
JP,All Japanese companies,Miscellaneous,2026-07-15 23:00:00,1,1,0,1,0,1,0,0,0,0,370899900.0
JP,All Japanese companies,Non-Energy Minerals,2026-07-15 23:00:00,61,3,2,0,16,0,0,0,7,0,181063702690.0
JP,All Japanese companies,Process Industries,2026-07-15 23:00:00,158,25,7,2,40,0,0,1,18,0,300148772600.0
JP,All Japanese companies,Producer Manufacturing,2026-07-15 23:00:00,318,48,18,11,85,2,1,2,19,0,1658609194260.0
JP,All Japanese companies,Retail Trade,2026-07-15 23:00:00,104,7,2,1,82,6,1,1,26,0,257746308270.0
JP,All Japanese companies,Technology Services,2026-07-15 23:00:00,278,37,17,12,169,15,4,11,43,0,357411186758.0
JP,All Japanese companies,Transportation,2026-07-15 23:00:00,59,4,2,1,35,0,1,0,8,0,127790328510.0
JP,All Japanese companies,Unknown,2026-07-15 23:00:00,0,0,0,0,0,0,0,0,0,3,230000.0
JP,All Japanese companies,Utilities,2026-07-15 23:00:00,26,1,0,3,1,0,0,0,1,0,74298872370.0
KR,All South Korean Companies,Commercial Services,2026-07-15 23:00:00,37,20,11,11,16,2,0,3,4,0,123713488063.0
KR,All South Korean Companies,Communications,2026-07-15 23:00:00,6,2,0,2,1,0,0,1,1,0,79873769346.0
KR,All South Korean Companies,Consumer Durables,2026-07-15 23:00:00,33,15,9,9,9,1,1,1,3,0,1455533714002.0
KR,All South Korean Companies,Consumer Non-Durables,2026-07-15 23:00:00,64,15,10,10,43,2,0,2,11,0,469972294073.0
KR,All South Korean Companies,Consumer Services,2026-07-15 23:00:00,30,8,1,4,21,4,0,3,3,0,216634133590.0
KR,All South Korean Companies,Distribution Services,2026-07-15 23:00:00,25,11,5,7,11,0,0,0,1,0,79537393875.0
KR,All South Korean Companies,Electronic Technology,2026-07-15 23:00:00,82,76,88,137,24,3,2,5,5,0,24367842787453.0
KR,All South Korean Companies,Energy Minerals,2026-07-15 23:00:00,2,1,1,2,1,2,0,0,0,0,210413248260.0
KR,All South Korean Companies,Finance,2026-07-15 23:00:00,71,21,13,13,41,0,0,1,29,0,3049541796686.0
KR,All South Korean Companies,Health Services,2026-07-15 23:00:00,5,2,1,1,0,1,0,0,0,0,25792502600.0
KR,All South Korean Companies,Health Technology,2026-07-15 23:00:00,101,62,48,49,24,5,6,3,11,0,1415666298180.0
KR,All South Korean Companies,Industrial Services,2026-07-15 23:00:00,25,11,5,4,10,1,0,0,0,0,399153654432.0
KR,All South Korean Companies,Miscellaneous,2026-07-15 23:00:00,4,1,1,0,2,0,0,0,0,0,8983585460.0
KR,All South Korean Companies,Non-Energy Minerals,2026-07-15 23:00:00,54,17,6,5,18,2,0,1,3,0,228876013850.0
KR,All South Korean Companies,Process Industries,2026-07-15 23:00:00,101,38,15,24,35,4,0,2,10,0,611972672775.0
KR,All South Korean Companies,Producer Manufacturing,2026-07-15 23:00:00,140,102,67,95,35,6,5,5,9,0,5697086648456.0
KR,All South Korean Companies,Retail Trade,2026-07-15 23:00:00,16,11,1,6,5,0,0,0,1,0,252869823170.0
KR,All South Korean Companies,Technology Services,2026-07-15 23:00:00,88,59,35,21,29,4,2,4,1,0,658072265826.0
KR,All South Korean Companies,Transportation,2026-07-15 23:00:00,20,6,2,4,2,0,0,0,3,0,248378530196.0
KR,All South Korean Companies,Utilities,2026-07-15 23:00:00,8,4,1,4,5,0,0,0,1,0,435340083305.0
KR,KOSPI Composite Index,Commercial Services,2026-07-15 23:00:00,8,1,1,1,3,0,0,0,1,0,69550173120.0
KR,KOSPI Composite Index,Communications,2026-07-15 23:00:00,4,0,0,0,1,0,0,0,0,0,75498872580.0
KR,KOSPI Composite Index,Consumer Durables,2026-07-15 23:00:00,16,5,2,1,5,0,1,1,1,0,1282202624344.0
KR,KOSPI Composite Index,Consumer Non-Durables,2026-07-15 23:00:00,34,4,3,2,29,0,0,0,8,0,412104105191.0
KR,KOSPI Composite Index,Consumer Services,2026-07-15 23:00:00,9,0,0,0,9,1,0,3,1,0,177599656536.0
KR,KOSPI Composite Index,Distribution Services,2026-07-15 23:00:00,9,4,2,0,2,0,0,0,0,0,46000217181.0
KR,KOSPI Composite Index,Electronic Technology,2026-07-15 23:00:00,10,11,14,18,3,0,0,1,0,0,22269511159329.0
KR,KOSPI Composite Index,Energy Minerals,2026-07-15 23:00:00,2,1,1,2,0,1,0,0,0,0,204484663600.0
KR,KOSPI Composite Index,Finance,2026-07-15 23:00:00,40,14,4,7,13,0,0,0,2,0,3019918894867.0
KR,KOSPI Composite Index,Health Technology,2026-07-15 23:00:00,28,14,4,6,4,1,0,0,1,0,415895353758.0
KR,KOSPI Composite Index,Industrial Services,2026-07-15 23:00:00,12,5,2,1,6,0,0,0,0,0,380087904312.0
KR,KOSPI Composite Index,Miscellaneous,2026-07-15 23:00:00,2,0,0,0,0,0,0,0,0,0,10363341600.0
KR,KOSPI Composite Index,Non-Energy Minerals,2026-07-15 23:00:00,34,12,3,1,14,1,0,0,1,0,182773814431.0
KR,KOSPI Composite Index,Process Industries,2026-07-15 23:00:00,55,16,6,8,23,2,0,0,6,0,378358662225.0
KR,KOSPI Composite Index,Producer Manufacturing,2026-07-15 23:00:00,62,26,17,13,9,2,1,1,2,0,3461700741297.0
KR,KOSPI Composite Index,Retail Trade,2026-07-15 23:00:00,7,5,0,4,4,0,0,0,0,0,222887285245.0
KR,KOSPI Composite Index,Technology Services,2026-07-15 23:00:00,7,7,2,0,4,1,0,0,1,0,399733411858.0
KR,KOSPI Composite Index,Transportation,2026-07-15 23:00:00,16,4,2,2,2,0,0,0,3,0,246267378543.0
KR,KOSPI Composite Index,Utilities,2026-07-15 23:00:00,7,3,0,3,3,0,0,0,1,0,356879971865.0
TW,All Taiwan Companies,Commercial Services,2026-07-15 23:00:00,27,8,4,2,11,1,0,0,5,0,11560333529.0
TW,All Taiwan Companies,Communications,2026-07-15 23:00:00,4,1,0,0,0,0,0,0,3,0,2998645928.05
TW,All Taiwan Companies,Consumer Durables,2026-07-15 23:00:00,81,8,5,2,19,3,0,0,7,0,7407960116.05
TW,All Taiwan Companies,Consumer Non-Durables,2026-07-15 23:00:00,45,5,0,1,8,1,0,0,5,0,1588154913.22
TW,All Taiwan Companies,Consumer Services,2026-07-15 23:00:00,48,5,1,2,12,5,0,0,6,0,1616188317.71
TW,All Taiwan Companies,Distribution Services,2026-07-15 23:00:00,52,6,0,4,10,4,0,0,5,0,11681010264.35
TW,All Taiwan Companies,Electronic Technology,2026-07-15 23:00:00,367,87,40,54,131,16,7,4,33,0,848881473011.92
TW,All Taiwan Companies,Energy Minerals,2026-07-15 23:00:00,2,0,1,1,0,0,0,0,0,0,4268747469.0
TW,All Taiwan Companies,Finance,2026-07-15 23:00:00,66,3,2,2,13,0,0,1,5,0,28713972503.35
TW,All Taiwan Companies,Health Services,2026-07-15 23:00:00,8,0,0,1,0,0,0,0,2,0,37472931.07
TW,All Taiwan Companies,Health Technology,2026-07-15 23:00:00,100,22,6,15,23,6,1,1,16,0,10399701114.46
TW,All Taiwan Companies,Industrial Services,2026-07-15 23:00:00,39,6,3,5,9,6,0,0,4,0,11869604448.5
TW,All Taiwan Companies,Miscellaneous,2026-07-15 23:00:00,0,0,0,0,0,0,0,0,1,0,1642507.2
TW,All Taiwan Companies,Non-Energy Minerals,2026-07-15 23:00:00,42,6,4,0,7,0,0,0,3,0,8824676989.25
TW,All Taiwan Companies,Process Industries,2026-07-15 23:00:00,104,15,10,11,32,2,1,0,11,0,73240698604.54
