Market,MarketName,Sector,Fetch_Time,Value.Traded,Value.Traded|1W,Value.Traded|1M
JP,Japan 225 Index,Commercial Services,2026-07-08 23:31:35,43269144200.0,125522927300.0,269117685400.0
JP,Japan 225 Index,Communications,2026-07-08 23:31:35,333087833840.0,925425121250.0,2126225142900.0
JP,Japan 225 Index,Consumer Durables,2026-07-08 23:31:35,373671361580.0,1206989863240.0,2536260676520.0
JP,Japan 225 Index,Consumer Non-Durables,2026-07-08 23:31:35,160557352500.0,399452461150.0,789158181100.0
JP,Japan 225 Index,Consumer Services,2026-07-08 23:31:35,17580084050.0,52734583550.0,102299245150.0
JP,Japan 225 Index,Distribution Services,2026-07-08 23:31:35,132415543050.0,372108467700.0,733864221300.0
JP,Japan 225 Index,Electronic Technology,2026-07-08 23:31:35,5141285135300.0,14131638037100.0,27904576486500.0
JP,Japan 225 Index,Energy Minerals,2026-07-08 23:31:35,34039100150.0,81434100600.0,158001526950.0
JP,Japan 225 Index,Finance,2026-07-08 23:31:35,587773999600.0,1808199065700.0,3388097263300.0
JP,Japan 225 Index,Health Technology,2026-07-08 23:31:35,184602595350.0,494740382500.0,972628460450.0
JP,Japan 225 Index,Industrial Services,2026-07-08 23:31:35,40669189400.0,114620900850.0,219227127650.0
JP,Japan 225 Index,Non-Energy Minerals,2026-07-08 23:31:35,116847952200.0,304387535850.0,671138738450.0
JP,Japan 225 Index,Process Industries,2026-07-08 23:31:35,209863657790.0,673293290200.0,1331539836480.0
JP,Japan 225 Index,Producer Manufacturing,2026-07-08 23:31:35,1421063723750.0,4067838665700.0,8340466121700.0
JP,Japan 225 Index,Retail Trade,2026-07-08 23:31:35,226164950110.0,594992307680.0,1119022234320.0
JP,Japan 225 Index,Technology Services,2026-07-08 23:31:35,166001698480.0,482380707750.0,996954762650.0
JP,Japan 225 Index,Transportation,2026-07-08 23:31:35,103071331850.0,336859662100.0,662012394950.0
JP,Japan 225 Index,Utilities,2026-07-08 23:31:35,56988757350.0,142827484600.0,308719312170.0
JP,All Japanese companies,Commercial Services,2026-07-08 23:31:35,81289012060.0,236339583150.0,492402261240.0
JP,All Japanese companies,Communications,2026-07-08 23:31:35,337857109140.0,939581123250.0,2154444075500.0
JP,All Japanese companies,Consumer Durables,2026-07-08 23:31:35,416568039830.0,1335531077190.0,2779253107770.0
JP,All Japanese companies,Consumer Non-Durables,2026-07-08 23:31:35,248593048670.0,652991975670.0,1307318586430.0
JP,All Japanese companies,Consumer Services,2026-07-08 23:31:35,122207567250.0,353095840350.0,689273713500.0
JP,All Japanese companies,Distribution Services,2026-07-08 23:31:35,182590602250.0,515539331200.0,1047547146650.0
JP,All Japanese companies,Electronic Technology,2026-07-08 23:31:35,5353739991700.0,14767986037250.0,29146569013900.0
JP,All Japanese companies,Energy Minerals,2026-07-08 23:31:35,40209608050.0,96881103400.0,187363602250.0
JP,All Japanese companies,Finance,2026-07-08 23:31:35,823250269880.0,2531852288530.0,4808450294590.0
JP,All Japanese companies,Government,2026-07-08 23:31:35,2223000.0,20007000.0,22230000.0
JP,All Japanese companies,Health Services,2026-07-08 23:31:35,1992049900.0,5510836100.0,11056783700.0
JP,All Japanese companies,Health Technology,2026-07-08 23:31:35,248015558200.0,689716160850.0,1344444110850.0
JP,All Japanese companies,Industrial Services,2026-07-08 23:31:35,97415113750.0,280540015900.0,538155460550.0
JP,All Japanese companies,Miscellaneous,2026-07-08 23:31:35,695740100.0,2090914100.0,4168649100.0
JP,All Japanese companies,Non-Energy Minerals,2026-07-08 23:31:35,222268988700.0,604975320750.0,1299645230650.0
JP,All Japanese companies,Process Industries,2026-07-08 23:31:35,335127309090.0,1051097709250.0,2090553622280.0
JP,All Japanese companies,Producer Manufacturing,2026-07-08 23:31:35,1889992473310.0,5487167048280.0,11079478982320.0
JP,All Japanese companies,Retail Trade,2026-07-08 23:31:35,324305841660.0,901052147340.0,1720409491860.0
JP,All Japanese companies,Technology Services,2026-07-08 23:31:35,335819144415.0,952914853091.0,1927734087497.0
JP,All Japanese companies,Transportation,2026-07-08 23:31:35,139745889300.0,445382580700.0,881190567300.0
JP,All Japanese companies,Unknown,2026-07-08 23:31:35,400000.0,400000.0,400000.0
JP,All Japanese companies,Utilities,2026-07-08 23:31:35,85525203730.0,234892878270.0,483754049760.0
KR,All South Korean Companies,Commercial Services,2026-07-08 23:31:35,196080633501.0,630459758433.0,1193232753113.0
KR,All South Korean Companies,Communications,2026-07-08 23:31:35,132491678026.0,333113026039.0,657199076226.0
KR,All South Korean Companies,Consumer Durables,2026-07-08 23:31:35,2415085611906.0,5648527604961.0,10786507367118.0
KR,All South Korean Companies,Consumer Non-Durables,2026-07-08 23:31:35,714498532954.0,1887313278075.0,3954029731583.0
KR,All South Korean Companies,Consumer Services,2026-07-08 23:31:35,140061578231.0,390937430025.0,815687812470.0
KR,All South Korean Companies,Distribution Services,2026-07-08 23:31:35,170348904600.0,324600597639.0,596456399968.0
KR,All South Korean Companies,Electronic Technology,2026-07-08 23:31:35,28498089408865.0,74312910215439.48,157935295947523.66
KR,All South Korean Companies,Energy Minerals,2026-07-08 23:31:35,172298569505.0,510534693763.0,758302531974.0
KR,All South Korean Companies,Finance,2026-07-08 23:31:35,3535285331884.0,9221341205272.0,20151370980128.0
KR,All South Korean Companies,Health Services,2026-07-08 23:31:35,27662329360.0,69582311095.0,128691230910.0
KR,All South Korean Companies,Health Technology,2026-07-08 23:31:35,1293967200839.0,3731474639453.0,7550468445245.0
