Market,MarketName,Sector,Fetch_Time,Value.Traded,Value.Traded|1W,Value.Traded|1M
JP,Japan 225 Index,Commercial Services,2026-09-03 00:19:25,45521843700.0,132961383400.0,80967373200.0
JP,Japan 225 Index,Communications,2026-09-03 00:19:25,82005791550.0,270198428140.0,160677920130.0
JP,Japan 225 Index,Consumer Durables,2026-09-03 00:19:25,446486201070.0,1276986417070.0,830614649760.0
JP,Japan 225 Index,Consumer Non-Durables,2026-09-03 00:19:25,112798015700.0,319487063800.0,201556224850.0
JP,Japan 225 Index,Consumer Services,2026-09-03 00:19:25,19637973600.0,53032339500.0,35051643900.0
JP,Japan 225 Index,Distribution Services,2026-09-03 00:19:25,139648225700.0,390284907500.0,256827930300.0
JP,Japan 225 Index,Electronic Technology,2026-09-03 00:19:25,2387395683000.0,8009164604050.0,4827823288650.0
JP,Japan 225 Index,Energy Minerals,2026-09-03 00:19:25,53285401100.0,137396779500.0,93252467400.0
JP,Japan 225 Index,Finance,2026-09-03 00:19:25,665497096250.0,1977073298900.0,1242674592900.0
JP,Japan 225 Index,Health Technology,2026-09-03 00:19:25,194176866750.0,589519261750.0,337356663900.0
JP,Japan 225 Index,Industrial Services,2026-09-03 00:19:25,34190333100.0,111887604900.0,69723225800.0
JP,Japan 225 Index,Miscellaneous,2026-09-03 00:19:25,170358090000.0,464351418800.0,302312919200.0
JP,Japan 225 Index,Non-Energy Minerals,2026-09-03 00:19:25,164040891250.0,493916495600.0,302077832600.0
JP,Japan 225 Index,Process Industries,2026-09-03 00:19:25,205906065440.0,606183741130.0,394118841930.0
JP,Japan 225 Index,Producer Manufacturing,2026-09-03 00:19:25,1099598140490.0,3255459304900.0,2081725230230.0
JP,Japan 225 Index,Retail Trade,2026-09-03 00:19:25,193938851310.0,549341450290.0,348044370730.0
JP,Japan 225 Index,Technology Services,2026-09-03 00:19:25,227789404930.0,638419434440.0,396166884560.0
JP,Japan 225 Index,Transportation,2026-09-03 00:19:25,126956203800.0,354727503000.0,221226802450.0
JP,Japan 225 Index,Utilities,2026-09-03 00:19:25,76249440060.0,232868568160.0,148243448660.0
JP,All Japanese companies,Commercial Services,2026-09-03 00:19:26,99428676350.0,290146670150.0,185226389950.0
JP,All Japanese companies,Communications,2026-09-03 00:19:26,86365971650.0,282919365840.0,168735876430.0
JP,All Japanese companies,Consumer Durables,2026-09-03 00:19:26,509017690570.0,1462452970570.0,951214504160.0
JP,All Japanese companies,Consumer Non-Durables,2026-09-03 00:19:26,224275519730.0,628089788480.0,398747339960.0
