Market,MarketName,Sector,Fetch_Time,Value.Traded,Value.Traded|1W,Value.Traded|1M
JP,Japan 225 Index,Commercial Services,2026-06-24 23:35:40,36339078900.0,124747125800.0,811516762600.0
JP,Japan 225 Index,Communications,2026-06-24 23:35:40,372439886210.0,1162874554370.0,9612756540360.0
JP,Japan 225 Index,Consumer Durables,2026-06-24 23:35:40,413057105350.0,1070709223950.0,7181916042800.0
JP,Japan 225 Index,Consumer Non-Durables,2026-06-24 23:35:40,119123144400.0,381274518450.0,2285822376450.0
JP,Japan 225 Index,Consumer Services,2026-06-24 23:35:40,20526057950.0,53266366650.0,332828582750.0
JP,Japan 225 Index,Distribution Services,2026-06-24 23:35:40,109204251900.0,336652770000.0,2304721473200.0
JP,Japan 225 Index,Electronic Technology,2026-06-24 23:35:40,6305839881000.0,16076432988100.0,99229329136300.0
JP,Japan 225 Index,Energy Minerals,2026-06-24 23:35:40,28036852800.0,80241105600.0,627630922300.0
JP,Japan 225 Index,Finance,2026-06-24 23:35:40,543447136200.0,1503976295650.0,11363197399000.0
JP,Japan 225 Index,Health Technology,2026-06-24 23:35:40,144490239250.0,398320369700.0,2990816442650.0
JP,Japan 225 Index,Industrial Services,2026-06-24 23:35:40,32158349350.0,104018747900.0,753903774300.0
JP,Japan 225 Index,Non-Energy Minerals,2026-06-24 23:35:40,134387834300.0,436165405130.0,2935580839610.0
JP,Japan 225 Index,Process Industries,2026-06-24 23:35:40,210642006470.0,628119264970.0,4054187475470.0
JP,Japan 225 Index,Producer Manufacturing,2026-06-24 23:35:40,1814811846950.0,5519854183400.0,31654627965700.0
JP,Japan 225 Index,Retail Trade,2026-06-24 23:35:40,169267639160.0,553865666040.0,3090372907170.0
JP,Japan 225 Index,Technology Services,2026-06-24 23:35:40,159659601150.0,446330434530.0,3115730173250.0
JP,Japan 225 Index,Transportation,2026-06-24 23:35:40,90286706940.0,275001745760.0,2023097898100.0
JP,Japan 225 Index,Utilities,2026-06-24 23:35:40,55906189010.0,163536267940.0,887709161490.0
JP,All Japanese companies,Commercial Services,2026-06-24 23:35:41,68279184810.0,235496782920.0,1605728945780.0
JP,All Japanese companies,Communications,2026-06-24 23:35:41,377078229810.0,1175828721170.0,9690099655360.0
JP,All Japanese companies,Consumer Durables,2026-06-24 23:35:41,448297454400.0,1179620577850.0,8053734058250.0
JP,All Japanese companies,Consumer Non-Durables,2026-06-24 23:35:41,196925841920.0,621223388290.0,3817996125310.0
JP,All Japanese companies,Consumer Services,2026-06-24 23:35:41,113800530550.0,344398810619.2558,2148796717956.49
JP,All Japanese companies,Distribution Services,2026-06-24 23:35:41,153805120350.0,470021398350.0,3224043169500.0
JP,All Japanese companies,Electronic Technology,2026-06-24 23:35:41,6563895729950.0,16918189029950.0,104596494155550.0
JP,All Japanese companies,Energy Minerals,2026-06-24 23:35:41,32529425300.0,92250933600.0,728195655700.0
JP,All Japanese companies,Finance,2026-06-24 23:35:41,761098063540.0,2134227669940.0,15862559695110.0
JP,All Japanese companies,Government,2026-06-24 23:35:41,6963000.0,6963000.0,83556000.0
JP,All Japanese companies,Health Services,2026-06-24 23:35:41,2252153200.0,5070149400.0,35352708200.0
JP,All Japanese companies,Health Technology,2026-06-24 23:35:41,206522836950.0,588007947150.0,4433320994700.0
JP,All Japanese companies,Industrial Services,2026-06-24 23:35:41,88467409650.0,279069504300.0,1966933642250.0
JP,All Japanese companies,Miscellaneous,2026-06-24 23:35:41,528441900.0,1606664900.0,15153718500.0
JP,All Japanese companies,Non-Energy Minerals,2026-06-24 23:35:41,314115891100.0,1228091082730.0,5674736829610.0
JP,All Japanese companies,Process Industries,2026-06-24 23:35:41,355646224920.0,1099385946620.0,7432191090970.0
