Market,MarketName,Sector,Fetch_Time,Value.Traded,Value.Traded|1W,Value.Traded|1M
JP,Japan 225 Index,Commercial Services,2026-09-08 00:27:40,2038921000.0,36084130200.0,185513412600.0
JP,Japan 225 Index,Communications,2026-09-08 00:27:40,5291898600.0,71002574640.0,362187623820.0
JP,Japan 225 Index,Consumer Durables,2026-09-08 00:27:40,42692517830.0,327754166300.0,1799689316300.0
JP,Japan 225 Index,Consumer Non-Durables,2026-09-08 00:27:40,8235919450.0,105026569050.0,526353791600.0
JP,Japan 225 Index,Consumer Services,2026-09-08 00:27:40,2080884600.0,19828316600.0,108656424200.0
JP,Japan 225 Index,Distribution Services,2026-09-08 00:27:40,13185741250.0,129492682250.0,715929160400.0
JP,Japan 225 Index,Electronic Technology,2026-09-08 00:27:40,221234147600.0,3350536663850.0,14322915469450.0
JP,Japan 225 Index,Energy Minerals,2026-09-08 00:27:40,4086751600.0,35144435300.0,213672001600.0
JP,Japan 225 Index,Finance,2026-09-08 00:27:40,61329162650.0,558156861200.0,3220892199400.0
JP,Japan 225 Index,Health Technology,2026-09-08 00:27:40,11138393150.0,153171749700.0,798559749450.0
JP,Japan 225 Index,Industrial Services,2026-09-08 00:27:40,1906247300.0,27555573200.0,159949993300.0
JP,Japan 225 Index,Miscellaneous,2026-09-08 00:27:40,41874627600.0,566121999200.0,1653923997200.0
JP,Japan 225 Index,Non-Energy Minerals,2026-09-08 00:27:40,10357071830.0,128535753560.0,710093965080.0
JP,Japan 225 Index,Process Industries,2026-09-08 00:27:40,14571596240.0,174846845340.0,956725229020.0
JP,Japan 225 Index,Producer Manufacturing,2026-09-08 00:27:40,75732999450.0,954335074500.0,5030624746550.0
JP,Japan 225 Index,Retail Trade,2026-09-08 00:27:40,13596564610.0,159651774170.0,932581215470.0
JP,Japan 225 Index,Technology Services,2026-09-08 00:27:40,11101626350.0,178240018570.0,949195207500.0
JP,Japan 225 Index,Transportation,2026-09-08 00:27:40,8811611720.0,110633602530.0,582273443850.0
JP,Japan 225 Index,Utilities,2026-09-08 00:27:40,4301026360.0,52614241540.0,328104267500.0
JP,All Japanese companies,Commercial Services,2026-09-08 00:27:41,6168855540.0,82298059650.0,425561133980.0
JP,All Japanese companies,Communications,2026-09-08 00:27:41,5670598900.0,74378536440.0,380260573420.0
JP,All Japanese companies,Consumer Durables,2026-09-08 00:27:41,47953051660.0,382031759450.0,2082684932310.0
JP,All Japanese companies,Consumer Non-Durables,2026-09-08 00:27:41,14184020950.0,204217676850.0,1002198750550.0
JP,All Japanese companies,Consumer Services,2026-09-08 00:27:41,12094214100.0,129688731350.0,565366346100.0
JP,All Japanese companies,Distribution Services,2026-09-08 00:27:41,18085943950.0,183438779700.0,990450296150.0
JP,All Japanese companies,Electronic Technology,2026-09-08 00:27:41,224204463340.0,3502173162980.0,15125750335170.0
JP,All Japanese companies,Energy Minerals,2026-09-08 00:27:41,4918330300.0,40655505100.0,244462426500.0
JP,All Japanese companies,Finance,2026-09-08 00:27:41,86156491600.0,787715101070.0,4510291834890.0
JP,All Japanese companies,Government,2026-09-08 00:27:41,2190000.0,2190000.0,13140000.0
JP,All Japanese companies,Health Services,2026-09-08 00:27:41,122875600.0,1752535300.0,8736981800.0
JP,All Japanese companies,Health Technology,2026-09-08 00:27:41,20560621600.0,238231519150.0,1168660931150.0
JP,All Japanese companies,Industrial Services,2026-09-08 00:27:41,7733210450.0,100445610850.0,510911466550.0
