Market,MarketName,Sector,Fetch_Time,Value.Traded,Value.Traded|1W,Value.Traded|1M
JP,Japan 225 Index,Commercial Services,2026-06-25 23:47:08,32941179600.0,159236753600.0,854038050000.0
JP,Japan 225 Index,Communications,2026-06-25 23:47:08,660879949310.0,1897013646930.0,10915623910720.0
JP,Japan 225 Index,Consumer Durables,2026-06-25 23:47:08,385479077940.0,1466782999160.0,7626336437430.0
JP,Japan 225 Index,Consumer Non-Durables,2026-06-25 23:47:08,118353483050.0,507545632900.0,2450898760850.0
JP,Japan 225 Index,Consumer Services,2026-06-25 23:47:08,17551086700.0,71256577000.0,353144557200.0
JP,Japan 225 Index,Distribution Services,2026-06-25 23:47:08,117623420600.0,450336179600.0,2395545316200.0
JP,Japan 225 Index,Electronic Technology,2026-06-25 23:47:08,4855191461000.0,22668683613550.0,114705325919700.0
JP,Japan 225 Index,Energy Minerals,2026-06-25 23:47:08,36308179700.0,114576464350.0,648373427800.0
JP,Japan 225 Index,Finance,2026-06-25 23:47:08,512107015100.0,2015898172300.0,11881959161850.0
JP,Japan 225 Index,Health Technology,2026-06-25 23:47:08,131524250400.0,529807085200.0,3126683873350.0
JP,Japan 225 Index,Industrial Services,2026-06-25 23:47:08,33218224250.0,135929023250.0,777771748250.0
JP,Japan 225 Index,Non-Energy Minerals,2026-06-25 23:47:08,115346276200.0,550553463900.0,3045270958700.0
JP,Japan 225 Index,Process Industries,2026-06-25 23:47:08,211036955230.0,840115951190.0,4269716683830.0
JP,Japan 225 Index,Producer Manufacturing,2026-06-25 23:47:08,1630057146270.0,7324467446100.0,34303477149600.0
JP,Japan 225 Index,Retail Trade,2026-06-25 23:47:08,156665133210.0,726053809480.0,3320262617240.0
JP,Japan 225 Index,Technology Services,2026-06-25 23:47:08,132143273970.0,576027000650.0,3234277512740.0
JP,Japan 225 Index,Transportation,2026-06-25 23:47:08,93970395950.0,367002159980.0,2101631339850.0
JP,Japan 225 Index,Utilities,2026-06-25 23:47:08,46853122680.0,213377352120.0,948008777120.0
JP,All Japanese companies,Commercial Services,2026-06-25 23:47:08,67473784720.0,304847154500.0,1684029985640.0
JP,All Japanese companies,Communications,2026-06-25 23:47:08,664409280910.0,1913466239330.0,10996299938620.0
JP,All Japanese companies,Consumer Durables,2026-06-25 23:47:08,428681623340.0,1621252550860.0,8561737608730.0
JP,All Japanese companies,Consumer Non-Durables,2026-06-25 23:47:08,218044606840.0,852360844450.0,4114377989630.0
JP,All Japanese companies,Consumer Services,2026-06-25 23:47:08,138399516500.0,487424035329.2219,2317033928886.3306
JP,All Japanese companies,Distribution Services,2026-06-25 23:47:08,162868858650.0,630083634000.0,3365303225100.0
JP,All Japanese companies,Electronic Technology,2026-06-25 23:47:08,5143934883000.0,23837161617900.0,120574725233900.0
JP,All Japanese companies,Energy Minerals,2026-06-25 23:47:08,41696716000.0,131805314650.0,752792734700.0
JP,All Japanese companies,Finance,2026-06-25 23:47:08,731758502050.0,2869253657930.0,16618351498420.0
JP,All Japanese companies,Government,2026-06-25 23:47:08,9280000.0,16240000.0,92800000.0
JP,All Japanese companies,Health Services,2026-06-25 23:47:08,2329666700.0,7373198700.0,37937260400.0
JP,All Japanese companies,Health Technology,2026-06-25 23:47:08,197685585020.0,789013906550.0,4661194484400.0
JP,All Japanese companies,Industrial Services,2026-06-25 23:47:08,83056601800.0,360306848700.0,2039043789650.0
JP,All Japanese companies,Miscellaneous,2026-06-25 23:47:08,790845000.0,2414914200.0,16112411400.0
JP,All Japanese companies,Non-Energy Minerals,2026-06-25 23:47:08,346157577700.0,1614075628300.0,6150240005800.0
