Market,MarketName,Sector,Fetch_Time,Value.Traded,Value.Traded|1W,Value.Traded|1M
JP,Japan 225 Index,Commercial Services,2026-06-23 23:32:06,44817836150.0,88024633100.0,771255279400.0
JP,Japan 225 Index,Communications,2026-06-23 23:32:06,425265495100.0,781588212220.0,9133253182100.0
JP,Japan 225 Index,Consumer Durables,2026-06-23 23:32:06,342460297220.0,654268976460.0,6743513361580.0
JP,Japan 225 Index,Consumer Non-Durables,2026-06-23 23:32:06,126256808200.0,263745288050.0,2176087618850.0
JP,Japan 225 Index,Consumer Services,2026-06-23 23:32:06,19240950150.0,32436369900.0,308946002400.0
JP,Japan 225 Index,Distribution Services,2026-06-23 23:32:06,140247802250.0,230574600650.0,2226531177650.0
JP,Japan 225 Index,Electronic Technology,2026-06-23 23:32:06,5920831980500.0,9765629364150.0,92872534433000.0
JP,Japan 225 Index,Energy Minerals,2026-06-23 23:32:06,29126952400.0,53243643700.0,611560258800.0
JP,Japan 225 Index,Finance,2026-06-23 23:32:06,547208935850.0,978289400800.0,11023039619700.0
JP,Japan 225 Index,Health Technology,2026-06-23 23:32:06,145947143800.0,252265586700.0,2828343060600.0
JP,Japan 225 Index,Industrial Services,2026-06-23 23:32:06,42474602850.0,72108695250.0,723683707500.0
JP,Japan 225 Index,Non-Energy Minerals,2026-06-23 23:32:06,170060994150.0,304702069450.0,2828736117700.0
JP,Japan 225 Index,Process Industries,2026-06-23 23:32:06,243404308590.0,425714589160.0,3919727529780.0
JP,Japan 225 Index,Producer Manufacturing,2026-06-23 23:32:06,2543387186500.0,3792836439350.0,30547727893250.0
JP,Japan 225 Index,Retail Trade,2026-06-23 23:32:06,223289079690.0,382165187900.0,2912606751240.0
JP,Japan 225 Index,Technology Services,2026-06-23 23:32:06,163222669730.0,283127052450.0,2920447178450.0
JP,Japan 225 Index,Transportation,2026-06-23 23:32:06,101383240880.0,184276899230.0,1926677095590.0
JP,Japan 225 Index,Utilities,2026-06-23 23:32:06,54336194100.0,107523892790.0,831011016490.0
JP,All Japanese companies,Commercial Services,2026-06-23 23:32:07,83767936480.0,166910342340.0,1533448511580.0
JP,All Japanese companies,Communications,2026-06-23 23:32:07,429890429400.0,789922084520.0,9206054407700.0
JP,All Japanese companies,Consumer Durables,2026-06-23 23:32:07,378574050320.0,727918674860.0,7580519358680.0
JP,All Japanese companies,Consumer Non-Durables,2026-06-23 23:32:07,213721442150.0,424924984550.0,3621752646150.0
JP,All Japanese companies,Consumer Services,2026-06-23 23:32:07,127072152750.0,230066990550.0,2033836082950.0
JP,All Japanese companies,Distribution Services,2026-06-23 23:32:07,187526927450.0,319778839000.0,3105622913850.0
JP,All Japanese companies,Electronic Technology,2026-06-23 23:32:07,6231516035650.0,10352866773100.0,98015464085000.0
JP,All Japanese companies,Energy Minerals,2026-06-23 23:32:07,32573457500.0,60744331300.0,707488436400.0
JP,All Japanese companies,Finance,2026-06-23 23:32:07,770643623670.0,1393635851940.0,15337824254440.0
JP,All Japanese companies,Government,2026-06-23 23:32:07,6963000.0,6963000.0,83556000.0
JP,All Japanese companies,Health Services,2026-06-23 23:32:07,1499545700.0,2796252800.0,32951205200.0
JP,All Japanese companies,Health Technology,2026-06-23 23:32:07,214045754780.0,381303901540.0,4224878257290.0
JP,All Japanese companies,Industrial Services,2026-06-23 23:32:07,104796877450.0,190127343250.0,1876093737400.0
JP,All Japanese companies,Miscellaneous,2026-06-23 23:32:07,516700100.0,1084816200.0,14713013400.0
JP,All Japanese companies,Non-Energy Minerals,2026-06-23 23:32:07,476636495950.0,929138709550.0,5436405046300.0
JP,All Japanese companies,Process Industries,2026-06-23 23:32:07,414756982290.0,752347246210.0,7152494867280.0
JP,All Japanese companies,Producer Manufacturing,2026-06-23 23:32:07,3010507011020.0,4692956499420.0,38711131306400.0
JP,All Japanese companies,Retail Trade,2026-06-23 23:32:07,312311880590.0,548807174680.0,4349387375150.0
JP,All Japanese companies,Technology Services,2026-06-23 23:32:07,341605401468.0,618285477661.0,5793473861764.0
JP,All Japanese companies,Transportation,2026-06-23 23:32:07,137583321830.0,255134619930.0,2607867345340.0
JP,All Japanese companies,Unknown,2026-06-23 23:32:07,7724887500.0,7724887500.0,7724887500.0
JP,All Japanese companies,Utilities,2026-06-23 23:32:07,89300098880.0,166994619280.0,1330246752860.0
KR,All South Korean Companies,Commercial Services,2026-06-23 23:32:07,234359782891.0,411346959037.0,3771883962334.0
KR,All South Korean Companies,Communications,2026-06-23 23:32:07,159020106226.0,279442956509.0,4606996773531.0
