Market,MarketName,Sector,Fetch_Time,Value.Traded,Value.Traded|1W,Value.Traded|1M
JP,Japan 225 Index,Commercial Services,2026-06-19 23:16:56,68795133500.0,218665044400.0,667740781100.0
JP,Japan 225 Index,Communications,2026-06-19 23:16:56,684643296820.0,2713983410100.0,9028333194280.0
JP,Japan 225 Index,Consumer Durables,2026-06-19 23:16:56,465856068960.0,2006658632260.0,6263215304130.0
JP,Japan 225 Index,Consumer Non-Durables,2026-06-19 23:16:56,165487814050.0,653001833550.0,1935308046250.0
JP,Japan 225 Index,Consumer Services,2026-06-19 23:16:56,23207266700.0,81270040250.0,274822758600.0
JP,Japan 225 Index,Distribution Services,2026-06-19 23:16:56,208553916150.0,641519593550.0,2008774109300.0
JP,Japan 225 Index,Electronic Technology,2026-06-19 23:16:56,6215665272400.0,29227032940000.0,94114107213900.0
JP,Japan 225 Index,Energy Minerals,2026-06-19 23:16:56,63086241950.0,218304465750.0,565782302850.0
JP,Japan 225 Index,Finance,2026-06-19 23:16:56,840326427150.0,3354174369900.0,10110888549950.0
JP,Japan 225 Index,Health Technology,2026-06-19 23:16:56,215404681400.0,793112726700.0,2598590793500.0
JP,Japan 225 Index,Industrial Services,2026-06-19 23:16:56,46112889700.0,246170905400.0,678284763800.0
JP,Japan 225 Index,Non-Energy Minerals,2026-06-19 23:16:56,181587927400.0,854670745260.0,2640376015220.0
JP,Japan 225 Index,Process Industries,2026-06-19 23:16:56,308504479780.0,1186492665280.0,3520158594960.0
JP,Japan 225 Index,Producer Manufacturing,2026-06-19 23:16:56,1683695231440.0,8539498664660.0,26609384352920.0
JP,Japan 225 Index,Retail Trade,2026-06-19 23:16:56,246334876950.0,831550977870.0,2543005233230.0
JP,Japan 225 Index,Technology Services,2026-06-19 23:16:56,239132155450.0,817988560660.0,2634404783860.0
JP,Japan 225 Index,Transportation,2026-06-19 23:16:56,146286638380.0,591572147390.0,1727190137560.0
JP,Japan 225 Index,Utilities,2026-06-19 23:16:56,56991524800.0,226194067150.0,744238156100.0
JP,All Japanese companies,Commercial Services,2026-06-19 23:16:57,119750374900.0,429843536400.0,1354149478300.0
JP,All Japanese companies,Communications,2026-06-19 23:16:57,688562038420.0,2734122565800.0,9092565999480.0
JP,All Japanese companies,Consumer Durables,2026-06-19 23:16:57,527774214410.0,2260474565360.0,7042436093530.0
JP,All Japanese companies,Consumer Non-Durables,2026-06-19 23:16:57,287260843290.0,1070880935370.0,3227050450190.0
JP,All Japanese companies,Consumer Services,2026-06-19 23:16:57,136783590500.0,626110392410.0,1824316301990.0
JP,All Japanese companies,Distribution Services,2026-06-19 23:16:57,277533647450.0,894062795900.0,2804427264350.0
JP,All Japanese companies,Electronic Technology,2026-06-19 23:16:57,6574436023600.0,30755228087350.0,98802993799350.0
JP,All Japanese companies,Energy Minerals,2026-06-19 23:16:57,71622286050.0,248598747650.0,655822771850.0
JP,All Japanese companies,Finance,2026-06-19 23:16:57,1167697583690.0,4607969533560.0,14020399810930.0
JP,All Japanese companies,Government,2026-06-19 23:16:57,9600000.0,31200000.0,79200000.0
JP,All Japanese companies,Health Services,2026-06-19 23:16:57,1362092200.0,9149711300.0,30137967100.0
JP,All Japanese companies,Health Technology,2026-06-19 23:16:57,306134449140.0,1157260771140.0,3863880563150.0
