Market,MarketName,Sector,Fetch_Time,Value.Traded,Value.Traded|1W,Value.Traded|1M
JP,Japan 225 Index,Commercial Services,2026-07-27 23:29:10,52911251800.0,52911251800.0,829944905500.0
JP,Japan 225 Index,Communications,2026-07-27 23:29:10,346133124150.0,346133124150.0,6166937348980.0
JP,Japan 225 Index,Consumer Durables,2026-07-27 23:29:10,387052288220.0,387052288220.0,6903499676860.0
JP,Japan 225 Index,Consumer Non-Durables,2026-07-27 23:29:10,113576268300.0,113576268300.0,2394650541550.0
JP,Japan 225 Index,Consumer Services,2026-07-27 23:29:10,33779358200.0,33779358200.0,429042836400.0
JP,Japan 225 Index,Distribution Services,2026-07-27 23:29:10,108859206650.0,108859206650.0,2155596607450.0
JP,Japan 225 Index,Electronic Technology,2026-07-27 23:29:10,4124117477100.0,4124117477100.0,68773791066600.0
JP,Japan 225 Index,Energy Minerals,2026-07-27 23:29:10,35672414200.0,35672414200.0,547454471450.0
JP,Japan 225 Index,Finance,2026-07-27 23:29:10,645132777950.0,645132777950.0,11286223669250.0
JP,Japan 225 Index,Health Technology,2026-07-27 23:29:10,186417986150.0,186417986150.0,2790706289400.0
JP,Japan 225 Index,Industrial Services,2026-07-27 23:29:10,27187832850.0,27187832850.0,562383400650.0
JP,Japan 225 Index,Non-Energy Minerals,2026-07-27 23:29:10,114066095140.0,114066095140.0,1958710631290.0
JP,Japan 225 Index,Process Industries,2026-07-27 23:29:10,229932509190.0,229932509190.0,3515763915320.0
JP,Japan 225 Index,Producer Manufacturing,2026-07-27 23:29:10,1084981583650.0,1084981583650.0,22438159448900.0
JP,Japan 225 Index,Retail Trade,2026-07-27 23:29:10,176126819500.0,176126819500.0,3373316136800.0
JP,Japan 225 Index,Technology Services,2026-07-27 23:29:10,179000997070.0,179000997070.0,2970775544730.0
JP,Japan 225 Index,Transportation,2026-07-27 23:29:10,134022663470.0,134022663470.0,1970749363070.0
JP,Japan 225 Index,Utilities,2026-07-27 23:29:10,51216677600.0,51216677600.0,883100881000.0
JP,All Japanese companies,Commercial Services,2026-07-27 23:29:11,92044237200.0,92076956500.0,1520497038250.0
JP,All Japanese companies,Communications,2026-07-27 23:29:11,349824762050.0,349824762050.0,6243041273180.0
JP,All Japanese companies,Consumer Durables,2026-07-27 23:29:11,436713001970.0,436720011770.0,7747112686260.0
JP,All Japanese companies,Consumer Non-Durables,2026-07-27 23:29:11,188511803300.0,188515623800.0,3900148858830.0
JP,All Japanese companies,Consumer Services,2026-07-27 23:29:11,129846124450.0,129872534250.0,2171669262000.0
JP,All Japanese companies,Distribution Services,2026-07-27 23:29:11,168906060550.0,168915844350.0,3096577935350.0
JP,All Japanese companies,Electronic Technology,2026-07-27 23:29:11,4306659520250.0,4306659520250.0,72375194571800.0
JP,All Japanese companies,Energy Minerals,2026-07-27 23:29:11,41772139500.0,41772139500.0,643750900250.0
JP,All Japanese companies,Finance,2026-07-27 23:29:11,889469488650.0,889470426650.0,15638486691540.0
JP,All Japanese companies,Government,2026-07-27 23:29:11,2215000.0,2215000.0,42085000.0
JP,All Japanese companies,Health Services,2026-07-27 23:29:11,1370942800.0,1370942800.0,28019475400.0
JP,All Japanese companies,Health Technology,2026-07-27 23:29:11,248345702950.0,248345702950.0,3907761906020.0
JP,All Japanese companies,Industrial Services,2026-07-27 23:29:11,95441386400.0,95441386400.0,1485365223400.0
JP,All Japanese companies,Miscellaneous,2026-07-27 23:29:11,627866800.0,627866800.0,13338130600.0
JP,All Japanese companies,Non-Energy Minerals,2026-07-27 23:29:11,192854827940.0,192858234840.0,3786323844190.0
JP,All Japanese companies,Process Industries,2026-07-27 23:29:11,343758904490.0,343758904490.0,5604462527970.0
JP,All Japanese companies,Producer Manufacturing,2026-07-27 23:29:11,1433238177100.0,1433316868400.0,29532746084510.0
JP,All Japanese companies,Retail Trade,2026-07-27 23:29:11,265213697530.0,265216427530.0,5118673141210.0
JP,All Japanese companies,Technology Services,2026-07-27 23:29:11,343420533376.0,343429129376.0,6053160294938.0
JP,All Japanese companies,Transportation,2026-07-27 23:29:11,174932035420.0,174937046820.0,2616439902270.0
JP,All Japanese companies,Utilities,2026-07-27 23:29:11,83884561950.0,83884561950.0,1405047195400.0
KR,All South Korean Companies,Commercial Services,2026-07-27 23:29:11,160005649062.0,162744857226.0,2902496701369.0
KR,All South Korean Companies,Communications,2026-07-27 23:29:11,390572881902.0,390572881902.0,3199486513935.0
KR,All South Korean Companies,Consumer Durables,2026-07-27 23:29:11,932188608429.0,932320333869.0,25161444022691.0
KR,All South Korean Companies,Consumer Non-Durables,2026-07-27 23:29:11,463252883812.0,463252883812.0,9586882822720.0
KR,All South Korean Companies,Consumer Services,2026-07-27 23:29:11,88396019825.0,88523259270.0,2040414627732.0
KR,All South Korean Companies,Distribution Services,2026-07-27 23:29:11,43995508521.0,43995509767.0,1683932540709.0
KR,All South Korean Companies,Electronic Technology,2026-07-27 23:29:11,16041007026355.0,16071862473391.0,391516844400893.94
KR,All South Korean Companies,Energy Minerals,2026-07-27 23:29:11,171871616249.0,171871616249.0,3182418455630.0
KR,All South Korean Companies,Finance,2026-07-27 23:29:11,1954541426627.0,1954651574627.0,48125041320073.0
KR,All South Korean Companies,Health Services,2026-07-27 23:29:11,13008567180.0,13008567180.0,353488191855.0
KR,All South Korean Companies,Health Technology,2026-07-27 23:29:11,1078034345166.0,1079625247695.0,22986825449118.65
KR,All South Korean Companies,Industrial Services,2026-07-27 23:29:11,251378694270.0,251385757110.0,8663773242208.0
KR,All South Korean Companies,Miscellaneous,2026-07-27 23:29:11,9191644698.0,9191644698.0,223940288420.0
KR,All South Korean Companies,Non-Energy Minerals,2026-07-27 23:29:11,231191151870.0,231191151870.0,5615482935158.137
KR,All South Korean Companies,Process Industries,2026-07-27 23:29:11,477714335158.0,477909206534.0,11289387355293.0
KR,All South Korean Companies,Producer Manufacturing,2026-07-27 23:29:11,3408920462106.0,3412917354210.0,86113819303634.81
KR,All South Korean Companies,Retail Trade,2026-07-27 23:29:11,142701724886.0,142701724886.0,3815084199675.0
KR,All South Korean Companies,Technology Services,2026-07-27 23:29:11,1320722006443.0,1321556502237.0,17898420165617.0
KR,All South Korean Companies,Transportation,2026-07-27 23:29:11,199845245852.0,199845245852.0,4456377878199.0
KR,All South Korean Companies,Unknown,2026-07-27 23:29:11,94137680050.0,94137680050.0,94137680050.0
KR,All South Korean Companies,Utilities,2026-07-27 23:29:11,682033087600.0,682033087600.0,10644959102722.0
KR,KOSPI Composite Index,Commercial Services,2026-07-27 23:29:11,91795972999.0,91795972999.0,1752039700814.0
KR,KOSPI Composite Index,Communications,2026-07-27 23:29:11,384224825835.0,384224825835.0,3056715745620.0
KR,KOSPI Composite Index,Consumer Durables,2026-07-27 23:29:11,754260386062.0,754260386062.0,22992558329847.0
KR,KOSPI Composite Index,Consumer Non-Durables,2026-07-27 23:29:11,422567419255.0,422567419255.0,8427322102618.0
KR,KOSPI Composite Index,Consumer Services,2026-07-27 23:29:11,39939142558.0,39939142558.0,1215606279600.0
KR,KOSPI Composite Index,Distribution Services,2026-07-27 23:29:11,25612003810.0,25612003810.0,1096685358720.0
KR,KOSPI Composite Index,Electronic Technology,2026-07-27 23:29:11,15131281950589.0,15158272211995.0,366395082695354.9
KR,KOSPI Composite Index,Energy Minerals,2026-07-27 23:29:11,167090436465.0,167090436465.0,3076133073030.0
KR,KOSPI Composite Index,Finance,2026-07-27 23:29:11,1928839033791.0,1928839033791.0,47417315673111.0
KR,KOSPI Composite Index,Health Technology,2026-07-27 23:29:11,336559030756.0,336559030756.0,6868444920289.0
KR,KOSPI Composite Index,Industrial Services,2026-07-27 23:29:11,241553505259.0,241553505259.0,7974970361414.0
KR,KOSPI Composite Index,Miscellaneous,2026-07-27 23:29:11,12719877850.0,12719877850.0,256473703570.0
KR,KOSPI Composite Index,Non-Energy Minerals,2026-07-27 23:29:11,200277801961.0,200277801961.0,4156481270790.0
KR,KOSPI Composite Index,Process Industries,2026-07-27 23:29:11,334786016170.0,334980887546.0,7122328487831.0
KR,KOSPI Composite Index,Producer Manufacturing,2026-07-27 23:29:11,2073179437091.0,2073179437091.0,54547791137032.79
KR,KOSPI Composite Index,Retail Trade,2026-07-27 23:29:11,113872841805.0,113872841805.0,3304549197650.0
KR,KOSPI Composite Index,Technology Services,2026-07-27 23:29:11,922597997660.0,922597997660.0,10243335042650.0
KR,KOSPI Composite Index,Transportation,2026-07-27 23:29:11,184811336461.0,184811336461.0,4403968284701.0
KR,KOSPI Composite Index,Utilities,2026-07-27 23:29:11,645142670860.0,645142670860.0,9236348690170.0
TW,All Taiwan Companies,Commercial Services,2026-07-27 23:29:12,8905685362.85,8906971515.45,248963971517.99698
TW,All Taiwan Companies,Communications,2026-07-27 23:29:12,5490372888.3,5490372888.3,125849033871.7
TW,All Taiwan Companies,Consumer Durables,2026-07-27 23:29:12,5151121383.940001,5159564943.59,173843408711.00833
TW,All Taiwan Companies,Consumer Non-Durables,2026-07-27 23:29:12,1290473112.67,1291621725.77,39926857981.99947
TW,All Taiwan Companies,Consumer Services,2026-07-27 23:29:12,418220789.6,428294285.65,13888513858.356304
TW,All Taiwan Companies,Distribution Services,2026-07-27 23:29:12,6565101555.0,6565740894.2,211246445042.48132
TW,All Taiwan Companies,Electronic Technology,2026-07-27 23:29:12,655308264079.32,655351762206.77,13991267987505.396
TW,All Taiwan Companies,Energy Minerals,2026-07-27 23:29:12,3141293436.6000004,3141293436.6000004,82789238830.30002
TW,All Taiwan Companies,Finance,2026-07-27 23:29:12,23464881363.89,23464881363.89,564052019684.2263
TW,All Taiwan Companies,Health Services,2026-07-27 23:29:12,34474297.7,34965291.7,1421499086.2
TW,All Taiwan Companies,Health Technology,2026-07-27 23:29:12,5934538168.83,5948041476.33,182172674579.1109
TW,All Taiwan Companies,Industrial Services,2026-07-27 23:29:12,11845280717.57,11845914100.07,175070721841.39734
TW,All Taiwan Companies,Miscellaneous,2026-07-27 23:29:12,643669.2,643669.2,19662769.4
TW,All Taiwan Companies,Non-Energy Minerals,2026-07-27 23:29:12,7302850578.639999,7304712888.44,164917150912.18497
TW,All Taiwan Companies,Process Industries,2026-07-27 23:29:12,29607072256.95,29610514362.25,843204166926.4061
TW,All Taiwan Companies,Producer Manufacturing,2026-07-27 23:29:12,71177297202.27,71186105788.92,1916260983829.0098
TW,All Taiwan Companies,Retail Trade,2026-07-27 23:29:12,2574507875.2,2575923674.1499996,60097416048.0669
TW,All Taiwan Companies,Technology Services,2026-07-27 23:29:12,13066660916.65,13071992645.75,256889132769.86304
TW,All Taiwan Companies,Transportation,2026-07-27 23:29:12,7323397906.95,7323397906.95,205483779443.6
TW,All Taiwan Companies,Unknown,2026-07-27 23:29:12,2562994447.5543795,2562994447.5543795,2600074169.2543797
TW,All Taiwan Companies,Utilities,2026-07-27 23:29:12,321510251.55,321510251.55,8392527183.669551
TW,FTSE TWSE Taiwan 50 Index,Communications,2026-07-27 23:29:12,5467031190.0,5467031190.0,125043270892.0
TW,FTSE TWSE Taiwan 50 Index,Consumer Non-Durables,2026-07-27 23:29:12,69411613.60000001,69411613.60000001,2306998872.8
TW,FTSE TWSE Taiwan 50 Index,Distribution Services,2026-07-27 23:29:12,199532664.0,199532664.0,3367268832.0
TW,FTSE TWSE Taiwan 50 Index,Electronic Technology,2026-07-27 23:29:12,268933535191.0,268933535191.0,5425042496128.8
TW,FTSE TWSE Taiwan 50 Index,Energy Minerals,2026-07-27 23:29:12,3140798140.7000003,3140798140.7000003,82758972225.70001
TW,FTSE TWSE Taiwan 50 Index,Finance,2026-07-27 23:29:12,19480068476.1,19480068476.1,491093505288.5616
TW,FTSE TWSE Taiwan 50 Index,Non-Energy Minerals,2026-07-27 23:29:12,1502836380.15,1502836380.15,26616938484.4
TW,FTSE TWSE Taiwan 50 Index,Process Industries,2026-07-27 23:29:12,18868954375.2,18868954375.2,499940122735.4
TW,FTSE TWSE Taiwan 50 Index,Producer Manufacturing,2026-07-27 23:29:12,1545002582.55,1545002582.55,31784612386.65
TW,FTSE TWSE Taiwan 50 Index,Retail Trade,2026-07-27 23:29:12,1910076595.6999998,1910076595.6999998,44673584581.7
TW,FTSE TWSE Taiwan 50 Index,Transportation,2026-07-27 23:29:12,2864422007.6,2864422007.6,79572083958.8
CN,All Chinese Companies,Commercial Services,2026-07-27 23:29:13,39213817028.7,39409081995.0,892911319931.2283
CN,All Chinese Companies,Communications,2026-07-27 23:29:13,5369403194.03,5369403194.03,155846193331.06
CN,All Chinese Companies,Consumer Durables,2026-07-27 23:29:13,46938682739.131294,46938682739.131294,987748526983.8484
CN,All Chinese Companies,Consumer Non-Durables,2026-07-27 23:29:13,31263856540.19515,31263856540.19515,782916992209.0662
CN,All Chinese Companies,Consumer Services,2026-07-27 23:29:13,11209384948.854435,11209384948.854435,239375743104.44138
CN,All Chinese Companies,Distribution Services,2026-07-27 23:29:13,28829002368.09,28829002368.09,706755068065.419
CN,All Chinese Companies,Electronic Technology,2026-07-27 23:29:13,797519764172.8505,798864310713.1105,15962728862602.145
CN,All Chinese Companies,Energy Minerals,2026-07-27 23:29:13,25192403879.20683,25192403879.20683,497711320823.8799
CN,All Chinese Companies,Finance,2026-07-27 23:29:13,80072395033.38605,80142428115.15605,2041973864320.4897
CN,All Chinese Companies,Health Services,2026-07-27 23:29:13,3380755116.7,3380755116.7,75033145825.12
CN,All Chinese Companies,Health Technology,2026-07-27 23:29:13,104985592943.4,105360985843.06,2620848283441.8975
CN,All Chinese Companies,Industrial Services,2026-07-27 23:29:13,33686692040.55,34970126867.840004,705274367676.61
CN,All Chinese Companies,Miscellaneous,2026-07-27 23:29:13,210528.408,210528.408,15625941.0
CN,All Chinese Companies,Non-Energy Minerals,2026-07-27 23:29:13,115706644191.65,115706644191.65,2842703834228.8047
CN,All Chinese Companies,Process Industries,2026-07-27 23:29:13,194340557164.5,194477472324.84,4481338064408.228
CN,All Chinese Companies,Producer Manufacturing,2026-07-27 23:29:13,412501999504.45,412858421734.89,9697087125836.098
CN,All Chinese Companies,Retail Trade,2026-07-27 23:29:13,14204509717.67,14204509717.67,309116276151.66003
CN,All Chinese Companies,Technology Services,2026-07-27 23:29:13,100945019893.03,101817802120.9,2700625894316.9087
CN,All Chinese Companies,Transportation,2026-07-27 23:29:13,21270184229.23,21270184229.23,491220947556.59
CN,All Chinese Companies,Utilities,2026-07-27 23:29:13,46922222257.61,46922222257.61,906478910039.43
CN,Shenzhen Component Index,Commercial Services,2026-07-27 23:29:13,8006353779.099999,8006353779.099999,187955050133.25
CN,Shenzhen Component Index,Communications,2026-07-27 23:29:13,482639790.75,482639790.75,16155381518.25
CN,Shenzhen Component Index,Consumer Durables,2026-07-27 23:29:13,18612373244.75,18612373244.75,348505656283.95996
CN,Shenzhen Component Index,Consumer Non-Durables,2026-07-27 23:29:13,5473617340.5,5473617340.5,167877155818.79
CN,Shenzhen Component Index,Consumer Services,2026-07-27 23:29:13,2751765823.11,2751765823.11,71729980990.34999
CN,Shenzhen Component Index,Distribution Services,2026-07-27 23:29:13,3102242553.95,3102242553.95,101924940337.85
CN,Shenzhen Component Index,Electronic Technology,2026-07-27 23:29:13,290242391679.95,290242391679.95,6955375771901.33
CN,Shenzhen Component Index,Energy Minerals,2026-07-27 23:29:13,570776550.0,570776550.0,14266198208.800001
CN,Shenzhen Component Index,Finance,2026-07-27 23:29:13,8988390237.59,9058423319.36,258923123758.27
CN,Shenzhen Component Index,Health Services,2026-07-27 23:29:13,929719784.4999999,929719784.4999999,28395819703.739998
CN,Shenzhen Component Index,Health Technology,2026-07-27 23:29:13,25054293608.19,25054293608.19,646182804744.01
CN,Shenzhen Component Index,Industrial Services,2026-07-27 23:29:13,5268886970.93,5268886970.93,70134619128.5
CN,Shenzhen Component Index,Non-Energy Minerals,2026-07-27 23:29:13,33955145344.57,33955145344.57,870398230487.03
CN,Shenzhen Component Index,Process Industries,2026-07-27 23:29:13,45179418120.06,45179418120.06,1071113291688.61
CN,Shenzhen Component Index,Producer Manufacturing,2026-07-27 23:29:13,153086379344.94,153086379344.94,3654414274083.79
CN,Shenzhen Component Index,Retail Trade,2026-07-27 23:29:13,104523685.49,104523685.49,2289466581.08
CN,Shenzhen Component Index,Technology Services,2026-07-27 23:29:13,38798113457.619995,38798113457.619995,1113971505036.3398
CN,Shenzhen Component Index,Transportation,2026-07-27 23:29:13,2065860553.78,2065860553.78,43569787944.85
CN,Shenzhen Component Index,Utilities,2026-07-27 23:29:13,4616029644.47,4616029644.47,108626351731.12
HK,All Hong Kong Companies,Commercial Services,2026-07-27 23:29:13,2030440107.2699997,2033840127.82,95599459916.644
HK,All Hong Kong Companies,Communications,2026-07-27 23:29:13,357078556.98,357517020.98,7490521932.36
HK,All Hong Kong Companies,Consumer Durables,2026-07-27 23:29:13,4033116206.09,4183863467.2000003,92418993085.13
HK,All Hong Kong Companies,Consumer Non-Durables,2026-07-27 23:29:13,3201458452.32,3202919470.32,80188464971.877
HK,All Hong Kong Companies,Consumer Services,2026-07-27 23:29:13,6605630066.165,6607077223.27,91268625095.66998
HK,All Hong Kong Companies,Distribution Services,2026-07-27 23:29:13,530692207.615,531738205.615,12691538686.763
HK,All Hong Kong Companies,Electronic Technology,2026-07-27 23:29:13,18429506271.545002,18431233757.145,463380996322.656
HK,All Hong Kong Companies,Energy Minerals,2026-07-27 23:29:13,105647851.7,106009691.7,2821616744.0480003
HK,All Hong Kong Companies,Finance,2026-07-27 23:29:13,7101806521.637216,7469041620.583216,189370838806.70056
HK,All Hong Kong Companies,Health Services,2026-07-27 23:29:13,83171245.42,83247080.42,4166401111.36
HK,All Hong Kong Companies,Health Technology,2026-07-27 23:29:13,7609790900.13,7610263256.13,236727302133.921
HK,All Hong Kong Companies,Industrial Services,2026-07-27 23:29:13,545259250.354,549407718.994,8234923612.686
HK,All Hong Kong Companies,Miscellaneous,2026-07-27 23:29:13,55764388.800000004,57012034.50000001,2604105243.921
