Market,MarketName,Sector,Fetch_Time,Value.Traded,Value.Traded|1W,Value.Traded|1M
JP,Japan 225 Index,Commercial Services,2026-05-13 23:33:15,51366486300.0,137847381900.0,283644767300.0
JP,Japan 225 Index,Communications,2026-05-13 23:33:15,366900059700.0,1398262783380.0,3294010134800.0
JP,Japan 225 Index,Consumer Durables,2026-05-13 23:33:15,504529738740.0,1745723333770.0,3211093425810.0
JP,Japan 225 Index,Consumer Non-Durables,2026-05-13 23:33:15,129188576500.0,497697845650.0,944098277400.0
JP,Japan 225 Index,Consumer Services,2026-05-13 23:33:15,16034989850.0,50368310200.0,136271536850.0
JP,Japan 225 Index,Distribution Services,2026-05-13 23:33:15,197459224850.0,529777718700.0,1756526306650.0
JP,Japan 225 Index,Electronic Technology,2026-05-13 23:33:15,981814467400.0,3565461802400.0,7704707642050.0
JP,Japan 225 Index,Energy Minerals,2026-05-13 23:33:15,48821575800.0,126168129900.0,286666971150.0
JP,Japan 225 Index,Finance,2026-05-13 23:33:15,489357359200.0,1490698986450.0,3183334354000.0
JP,Japan 225 Index,Health Technology,2026-05-13 23:33:15,230715921300.0,647181981750.0,1457261451900.0
JP,Japan 225 Index,Industrial Services,2026-05-13 23:33:15,82410627800.0,252868243400.0,402887282000.0
JP,Japan 225 Index,Non-Energy Minerals,2026-05-13 23:33:15,277668562830.0,814815790070.0,1510638350410.0
JP,Japan 225 Index,Process Industries,2026-05-13 23:33:15,353278143830.0,908429694260.0,2045916975530.0
JP,Japan 225 Index,Producer Manufacturing,2026-05-13 23:33:15,2356252301590.0,6443454416740.0,12160416230230.0
JP,Japan 225 Index,Retail Trade,2026-05-13 23:33:15,172692993370.0,575128614460.0,1169407193990.0
JP,Japan 225 Index,Technology Services,2026-05-13 23:33:15,157684523590.0,503777613820.0,1205746913190.0
JP,Japan 225 Index,Transportation,2026-05-13 23:33:15,103808837500.0,364961154580.0,831011293430.0
JP,Japan 225 Index,Utilities,2026-05-13 23:33:15,54572566560.0,190188584860.0,461685726600.0
JP,All Japanese companies,Commercial Services,2026-05-13 23:33:16,101325674690.0,297146151650.0,608875760260.0
JP,All Japanese companies,Communications,2026-05-13 23:33:16,372357434700.0,1416475137380.0,3329859819700.0
JP,All Japanese companies,Consumer Durables,2026-05-13 23:33:16,564104335840.0,1920501876570.0,3575704639760.0
JP,All Japanese companies,Consumer Non-Durables,2026-05-13 23:33:16,321491119000.0,905920791450.0,1692368911500.0
JP,All Japanese companies,Consumer Services,2026-05-13 23:33:16,162349343750.0,405466070950.0,866351437450.0
JP,All Japanese companies,Distribution Services,2026-05-13 23:33:16,267631881800.0,744331490750.0,2184766604550.0
