Market,MarketName,Sector,Fetch_Time,Value.Traded,Value.Traded|1W,Value.Traded|1M
JP,Japan 225 Index,Commercial Services,2026-09-14 00:14:39,45231014200.0,178635866500.0,325244636300.0
JP,Japan 225 Index,Communications,2026-09-14 00:14:39,99254799190.0,396931021870.0,699497443210.0
JP,Japan 225 Index,Consumer Durables,2026-09-14 00:14:39,406607496200.0,1883614053130.0,3322837797160.0
JP,Japan 225 Index,Consumer Non-Durables,2026-09-14 00:14:39,121566156150.0,515081289050.0,927927916750.0
JP,Japan 225 Index,Consumer Services,2026-09-14 00:14:39,21552857600.0,108730615600.0,197587545800.0
JP,Japan 225 Index,Distribution Services,2026-09-14 00:14:39,170256521900.0,694721668400.0,1290525253500.0
JP,Japan 225 Index,Electronic Technology,2026-09-14 00:14:39,2869983721450.0,14811304404500.0,25062863043850.0
JP,Japan 225 Index,Energy Minerals,2026-09-14 00:14:39,69600822200.0,256201089600.0,445191703100.0
JP,Japan 225 Index,Finance,2026-09-14 00:14:39,733540852400.0,2867702686100.0,5553193192850.0
JP,Japan 225 Index,Health Technology,2026-09-14 00:14:39,182672381850.0,793801111300.0,1421703313700.0
JP,Japan 225 Index,Industrial Services,2026-09-14 00:14:39,44379454800.0,200508315600.0,330353651400.0
JP,Japan 225 Index,Miscellaneous,2026-09-14 00:14:39,451531410000.0,2955993672000.0,4091000862000.0
JP,Japan 225 Index,Non-Energy Minerals,2026-09-14 00:14:39,120286838840.0,567366536880.0,1122479335340.0
JP,Japan 225 Index,Process Industries,2026-09-14 00:14:39,213685752060.0,861771927850.0,1624182320640.0
JP,Japan 225 Index,Producer Manufacturing,2026-09-14 00:14:39,1084752647470.0,4914692443040.0,8816703942080.0
JP,Japan 225 Index,Retail Trade,2026-09-14 00:14:39,199418262380.0,866386751130.0,1608642372560.0
JP,Japan 225 Index,Technology Services,2026-09-14 00:14:39,198848171560.0,903913629480.0,1665418860240.0
JP,Japan 225 Index,Transportation,2026-09-14 00:14:39,122757966910.0,516905970740.0,986223858680.0
JP,Japan 225 Index,Utilities,2026-09-14 00:14:39,59965785860.0,261635514050.0,537711857430.0
JP,All Japanese companies,Commercial Services,2026-09-14 00:14:39,106787366440.0,411805266260.0,751519515580.0
JP,All Japanese companies,Communications,2026-09-14 00:14:39,103681913690.0,415574757970.0,733152973010.0
JP,All Japanese companies,Consumer Durables,2026-09-14 00:14:39,480167940250.0,2189862314930.0,3850772399260.0
JP,All Japanese companies,Consumer Non-Durables,2026-09-14 00:14:39,213376513850.0,994863183950.0,1779782875150.0
JP,All Japanese companies,Consumer Services,2026-09-14 00:14:39,100480446150.0,517688353400.0,939741773950.0
JP,All Japanese companies,Distribution Services,2026-09-14 00:14:39,230152613100.0,955627957550.0,1770618337900.0
JP,All Japanese companies,Electronic Technology,2026-09-14 00:14:39,3037122292120.0,15583531279570.0,26446076455410.0
JP,All Japanese companies,Energy Minerals,2026-09-14 00:14:39,77466296700.0,290107223500.0,505248653800.0
JP,All Japanese companies,Finance,2026-09-14 00:14:39,1050518275220.0,4075609126840.0,7816205035370.0
JP,All Japanese companies,Government,2026-09-14 00:14:39,4300000.0,10750000.0,21500000.0
JP,All Japanese companies,Health Services,2026-09-14 00:14:39,1993782600.0,8481326700.0,15332189500.0
