Market,MarketName,Sector,Fetch_Time,Value.Traded,Value.Traded|1W,Value.Traded|1M
JP,Japan 225 Index,Commercial Services,2026-05-16 23:10:38,65829086400.0,241709806400.0,376363222100.0
JP,Japan 225 Index,Communications,2026-05-16 23:10:38,503270967900.0,2349803009580.0,4180930324080.0
JP,Japan 225 Index,Consumer Durables,2026-05-16 23:10:38,662981251220.0,3005279339000.0,4495523664660.0
JP,Japan 225 Index,Consumer Non-Durables,2026-05-16 23:10:38,138298882000.0,759693594050.0,1201068033600.0
JP,Japan 225 Index,Consumer Services,2026-05-16 23:10:38,15677671100.0,85003570500.0,170073125700.0
JP,Japan 225 Index,Distribution Services,2026-05-16 23:10:38,154735689600.0,829494205900.0,2043586736700.0
JP,Japan 225 Index,Electronic Technology,2026-05-16 23:10:38,1042332352800.0,5590621194700.0,9571399580800.0
JP,Japan 225 Index,Energy Minerals,2026-05-16 23:10:38,50891391600.0,244856492400.0,406807752900.0
JP,Japan 225 Index,Finance,2026-05-16 23:10:38,648776287650.0,2683939463900.0,4351627571750.0
JP,Japan 225 Index,Health Technology,2026-05-16 23:10:38,201980044800.0,1057544204450.0,1863054364000.0
JP,Japan 225 Index,Industrial Services,2026-05-16 23:10:38,88035842550.0,405762742300.0,541458914700.0
JP,Japan 225 Index,Non-Energy Minerals,2026-05-16 23:10:38,243221721770.0,1367953884450.0,2005605025490.0
JP,Japan 225 Index,Process Industries,2026-05-16 23:10:38,310526982290.0,1573658946370.0,2699069293970.0
JP,Japan 225 Index,Producer Manufacturing,2026-05-16 23:10:38,2429886854770.0,10226678106440.0,15470669741400.0
JP,Japan 225 Index,Retail Trade,2026-05-16 23:10:38,183637320330.0,947300752140.0,1539398874180.0
JP,Japan 225 Index,Technology Services,2026-05-16 23:10:38,213295780400.0,917722558960.0,1606058991890.0
JP,Japan 225 Index,Transportation,2026-05-16 23:10:38,115999589150.0,600556752800.0,1070188180250.0
JP,Japan 225 Index,Utilities,2026-05-16 23:10:38,56829400950.0,293656493910.0,561228752040.0
JP,All Japanese companies,Commercial Services,2026-05-16 23:10:39,125322552600.0,518323987930.0,817373131950.0
JP,All Japanese companies,Communications,2026-05-16 23:10:39,509784955300.0,2380975892580.0,4229743656080.0
JP,All Japanese companies,Consumer Durables,2026-05-16 23:10:39,758576140020.0,3334337756200.0,5013750533360.0
JP,All Japanese companies,Consumer Non-Durables,2026-05-16 23:10:39,257828122950.0,1403848040150.0,2184241229400.0
JP,All Japanese companies,Consumer Services,2026-05-16 23:10:39,145599973940.0,705229788680.0,1155894460430.0
JP,All Japanese companies,Distribution Services,2026-05-16 23:10:39,238750684000.0,1208459113500.0,2637266264400.0
JP,All Japanese companies,Electronic Technology,2026-05-16 23:10:39,3138918870700.0,15420080421300.0,23012333910300.0
JP,All Japanese companies,Energy Minerals,2026-05-16 23:10:39,58800664400.0,292061170600.0,476323548200.0
JP,All Japanese companies,Finance,2026-05-16 23:10:39,942365109950.0,3974006702560.0,6542761047920.0
JP,All Japanese companies,Government,2026-05-16 23:10:39,2438000.0,26818000.0,36570000.0
JP,All Japanese companies,Health Services,2026-05-16 23:10:39,3219373600.0,12546548000.0,18890941000.0
JP,All Japanese companies,Health Technology,2026-05-16 23:10:39,313949375850.0,1612846539350.0,2672479135150.0
JP,All Japanese companies,Industrial Services,2026-05-16 23:10:39,186518102600.0,918733376100.0,1312088704350.0
JP,All Japanese companies,Miscellaneous,2026-05-16 23:10:39,865854700.0,3744368200.0,5900167500.0
JP,All Japanese companies,Non-Energy Minerals,2026-05-16 23:10:39,414144646870.0,2501743379350.0,3531519927590.0
JP,All Japanese companies,Process Industries,2026-05-16 23:10:39,551178655970.0,2872471511130.0,4652430263640.0
JP,All Japanese companies,Producer Manufacturing,2026-05-16 23:10:39,3251950762700.0,13870426873240.0,20869793869400.0
JP,All Japanese companies,Retail Trade,2026-05-16 23:10:39,275822511980.0,1408551064980.0,2335004052900.0
JP,All Japanese companies,Technology Services,2026-05-16 23:10:39,426625203982.0,1865238855933.0,3046790820361.0
JP,All Japanese companies,Transportation,2026-05-16 23:10:39,171455996550.0,818275838850.0,1425651030650.0
JP,All Japanese companies,Utilities,2026-05-16 23:10:39,92867963170.0,498164756480.0,903115617420.0
KR,All South Korean Companies,Commercial Services,2026-05-16 23:10:39,433772160803.0,2274617699926.0,4032685395569.0
KR,All South Korean Companies,Communications,2026-05-16 23:10:39,180894717608.0,1075984158271.0,1679126035871.0
KR,All South Korean Companies,Consumer Durables,2026-05-16 23:10:39,6381232775194.0,27101557222714.0,42350667575781.0
KR,All South Korean Companies,Consumer Non-Durables,2026-05-16 23:10:39,949910383460.0,4681659392260.0,7801827654765.0
KR,All South Korean Companies,Consumer Services,2026-05-16 23:10:39,293337298903.0,1146504889100.0,1948847813410.0
KR,All South Korean Companies,Distribution Services,2026-05-16 23:10:39,971608479281.0,2040806782593.0,3279680949979.0
KR,All South Korean Companies,Electronic Technology,2026-05-16 23:10:39,33589377295832.0,163011907743844.66,279657367169925.0
KR,All South Korean Companies,Energy Minerals,2026-05-16 23:10:39,246692030465.0,998581428839.0,1810783138820.0
KR,All South Korean Companies,Finance,2026-05-16 23:10:39,3979916338419.0,19952147836762.0,40383297278057.0
KR,All South Korean Companies,Health Services,2026-05-16 23:10:39,71034474405.0,277023715650.0,518167184995.0
KR,All South Korean Companies,Health Technology,2026-05-16 23:10:39,3713835823601.0,16824311862053.0,24408130911461.0
KR,All South Korean Companies,Industrial Services,2026-05-16 23:10:39,684036046623.0,3876482223468.0,8547510513438.0
KR,All South Korean Companies,Miscellaneous,2026-05-16 23:10:39,12906266004.0,120717497726.0,218751783254.0
